,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
2,p4,1,0.0,199.64335,[183 336] ; [372  93],[292.72865854 226.27134146] ; [262.27134146 202.72865854],1
5,p7,1,0.0,83.379135,[237 266] ; [349 111],[306.08307373 196.91692627] ; [279.91692627 180.08307373],1
6,p8,1,0.0,81.63787,[184 329] ; [299 162],[254.39322382 258.60677618] ; [228.60677618 232.39322382],1
4,p6,1,0.0,66.115004,[118 398] ; [218 239],[178.18705036 337.81294964] ; [157.81294964 299.18705036],1
3,p5,1,0.0,43.26931,[ 25 495] ; [ 83 379],[ 57.18940937 462.81059063] ; [ 50.81059063 411.18940937],1
1,p2,1,0.0,31.075523,[380 143] ; [403  60],[415.32352941 107.67647059] ; [367.67647059  95.32352941],1
8,p10,1,0.0,29.987211,[360 154] ; [391  70],[395.91179487 118.08820513] ; [355.08820513 105.91179487],1
7,p9,1,0.0,26.988951,[380 130] ; [405  57],[411.88271605  98.11728395] ; [373.11728395  88.88271605],1
0,p1,1,3.9e-05,16.921607,[ 27 495] ; [ 58 404],[ 45.09146341 476.90853659] ; [ 39.90853659 422.09146341],1
9,p11,1,9.9e-05,15.165186,[369 157] ; [376  89],[395.42885974 130.57114026] ; [349.57114026 115.42885974],1
10,p12,1,0.000118,14.824504,[ 22 498] ; [ 49 413],[ 37.59674134 482.40325866] ; [ 33.40325866 428.59674134],1
