,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
13,p9,1,0.0,225.724203,[600  31] ; [44 59],[553.62942779  77.37057221] ; [90.37057221 12.62942779],1
2,n5,1,0.0,35.603943,[506 122] ; [58 49],[481.89387755 146.10612245] ; [82.10612245 24.89387755],1
9,p3,1,0.0,27.673157,[344 286] ; [29 78],[318.84667571 311.15332429] ; [54.15332429 52.84667571],1
10,p4,1,0.0,26.733684,[407 222] ; [41 66],[382.86956522 246.13043478] ; [65.13043478 41.86956522],1
12,p8,1,2e-06,22.95748,[370 253] ; [36 69],[347.44230769 275.55769231] ; [58.55769231 46.44230769],1
0,a5,1,1e-05,19.444092,[483 149] ; [60 47],[464.37889039 167.62110961] ; [78.62110961 28.37889039],1
8,p2,1,1.1e-05,19.376996,[550  79] ; [76 31],[534.99184783  94.00815217] ; [91.00815217 15.99184783],1
3,n6,1,2e-05,18.237023,[554  74] ; [77 29],[539.8746594  88.1253406] ; [91.1253406 14.8746594],1
5,s6,1,2.5e-05,17.754462,[427 191] ; [51 55],[408.01657459 209.98342541] ; [69.98342541 36.01657459],1
11,p7,1,4.7e-05,16.580213,[424 191] ; [51 54],[405.72916667 209.27083333] ; [69.27083333 35.72916667],1
4,s2,1,0.000283,13.182745,[328 297] ; [35 70],[310.78767123 314.21232877] ; [52.21232877 52.78767123],1
6,s7,1,0.000332,12.88309,[311 297] ; [33 70],[294.16596343 313.83403657] ; [49.83403657 53.16596343],1
7,s8,1,0.000609,11.748057,[296 332] ; [31 75],[279.77656676 348.22343324] ; [47.22343324 58.77656676],1
1,v4,1,0.000737,11.392923,[602  23] ; [95 12],[595.11612022  29.88387978] ; [101.88387978   5.11612022],1
