,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
13,p9,1,0.0,225.724203,[44 59] ; [600  31],[90.37057221 12.62942779] ; [553.62942779  77.37057221],1
2,n5,1,0.0,35.603943,[58 49] ; [506 122],[82.10612245 24.89387755] ; [481.89387755 146.10612245],1
9,p3,1,0.0,27.673157,[29 78] ; [344 286],[54.15332429 52.84667571] ; [318.84667571 311.15332429],1
10,p4,1,0.0,26.733684,[41 66] ; [407 222],[65.13043478 41.86956522] ; [382.86956522 246.13043478],1
12,p8,1,2e-06,22.95748,[36 69] ; [370 253],[58.55769231 46.44230769] ; [347.44230769 275.55769231],1
0,a5,1,1e-05,19.444092,[60 47] ; [483 149],[78.62110961 28.37889039] ; [464.37889039 167.62110961],1
8,p2,1,1.1e-05,19.376996,[76 31] ; [550  79],[91.00815217 15.99184783] ; [534.99184783  94.00815217],1
3,n6,1,2e-05,18.237023,[77 29] ; [554  74],[91.1253406 14.8746594] ; [539.8746594  88.1253406],1
5,s6,1,2.5e-05,17.754462,[51 55] ; [427 191],[69.98342541 36.01657459] ; [408.01657459 209.98342541],1
11,p7,1,4.7e-05,16.580213,[51 54] ; [424 191],[69.27083333 35.72916667] ; [405.72916667 209.27083333],1
4,s2,1,0.000283,13.182745,[35 70] ; [328 297],[52.21232877 52.78767123] ; [310.78767123 314.21232877],1
6,s7,1,0.000332,12.88309,[33 70] ; [311 297],[49.83403657 53.16596343] ; [294.16596343 313.83403657],1
7,s8,1,0.000609,11.748057,[31 75] ; [296 332],[47.22343324 58.77656676] ; [279.77656676 348.22343324],1
1,v4,1,0.000737,11.392923,[95 12] ; [602  23],[101.88387978   5.11612022] ; [595.11612022  29.88387978],1
