,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
17,p10,1,0.0,123.149893,[632 107] ; [122 118],[569.15832482 169.84167518] ; [184.84167518  55.15832482],1
16,p9,1,0.0,96.11625,[648  91] ; [140  98],[596.04094166 142.95905834] ; [191.95905834  46.04094166],1
5,r3,1,0.0,69.996713,[717  28] ; [196  50],[686.36226034  58.63773966] ; [226.63773966  19.36226034],1
11,p2,1,0.0,63.008974,[632 110] ; [152  95],[588.19817998 153.80182002] ; [195.80182002  51.19817998],1
9,n6,1,0.0,51.164585,[640 104] ; [160  85],[601.82002022 142.17997978] ; [198.17997978  46.82002022],1
15,p8,1,0.0,48.25869,[411 323] ; [ 74 170],[363.99795501 370.00204499] ; [121.00204499 122.99795501],1
6,r4,1,0.0,45.646794,[672  79] ; [179  70],[639.101 111.899] ; [211.899  37.101],1
3,v4,1,0.0,33.688741,[707  36] ; [207  40],[685.96161616  57.03838384] ; [228.03838384  18.96161616],1
14,p7,1,0.0,33.662356,[479 246] ; [109 133],[440.84798345 284.15201655] ; [147.15201655  94.84798345],1
7,n4,1,0.0,26.404685,[589 160] ; [153  93],[558.55075377 190.44924623] ; [183.44924623  62.55075377],1
8,n5,1,1e-06,24.277638,[570 173] ; [149  97],[540.15874621 202.84125379] ; [178.84125379  67.15874621],1
0,b1,1,1e-06,24.155729,[266 485] ; [132 117],[298.898 452.102] ; [ 99.102 149.898],1
13,p4,1,1e-06,24.056395,[451 291] ; [105 140],[417.9858156 324.0141844] ; [138.0141844 106.9858156],1
2,v2,1,9.1e-05,15.312581,[414 304] ; [103 136],[387.88505747 330.11494253] ; [129.11494253 109.88505747],1
12,p3,1,9.9e-05,15.165186,[376 369] ; [ 89 157],[349.57114026 395.42885974] ; [115.42885974 130.57114026],1
1,v1,1,0.000277,13.221361,[397 329] ; [102 145],[372.32682425 353.67317575] ; [126.67317575 120.32682425],1
10,s8,1,0.000622,11.708714,[330 414] ; [ 79 168],[307.05953582 436.94046418] ; [101.94046418 145.05953582],1
18,p12,1,0.000714,11.452516,[ 66 674] ; [  6 240],[ 54.03651116 685.96348884] ; [ 17.96348884 228.03651116],1
4,r1,1,0.000918,10.98533,[593 154] ; [170  76],[573.97885196 173.02114804] ; [189.02114804  56.97885196],1
