,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
10,p10,1,0.0,56.660012,[413  64] ; [62 50],[384.67741935  92.32258065] ; [90.32258065 21.67741935],1
9,p9,1,0.0,43.74778,[431  46] ; [74 38],[408.97283531  68.02716469] ; [96.02716469 15.97283531],1
6,p2,1,0.0,36.871811,[418  62] ; [74 43],[395.57788945  84.42211055] ; [96.42211055 20.57788945],1
5,n6,1,0.0,33.920586,[427  51] ; [78 37],[407.06576728  70.93423272] ; [97.93423272 17.06576728],1
1,r3,1,0.0,26.609148,[468  14] ; [98 17],[456.97152429  25.02847571] ; [109.02847571   5.97152429],1
0,v4,1,5.3e-05,16.347186,[461  19] ; [100  16],[451.81208054  28.18791946] ; [109.18791946   6.81208054],1
2,r4,1,9.8e-05,15.180973,[440  45] ; [91 26],[427.79900332  57.20099668] ; [103.20099668  13.79900332],1
3,n4,1,0.000151,14.356519,[372 111] ; [68 46],[355.9798995 127.0201005] ; [84.0201005 29.9798995],1
4,n5,1,0.000328,12.900711,[358 119] ; [67 48],[342.44087838 134.55912162] ; [82.55912162 32.44087838],1
7,p4,1,0.000446,12.330951,[282 196] ; [47 68],[265.19730185 212.80269815] ; [63.80269815 51.19730185],1
8,p7,1,0.000483,12.178511,[294 172] ; [51 62],[277.66839378 188.33160622] ; [67.33160622 45.66839378],1
