,Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
11,p10,1,0.0,75.196212,[122 118] ; [475 114],[172.83474065  67.16525935] ; [424.16525935 164.83474065],1
10,p9,1,0.0,71.541125,[140  98] ; [505  84],[185.62273277  52.37726723] ; [459.37726723 129.62273277],1
2,r3,1,0.0,45.932766,[196  50] ; [566  31],[222.36298932  23.63701068] ; [539.63701068  57.36298932],1
6,p2,1,0.0,42.101012,[152  95] ; [492 105],[188.46919431  58.53080569] ; [455.53080569 141.46919431],1
5,n6,1,0.0,41.715416,[160  85] ; [505  88],[194.42124105  50.57875895] ; [470.57875895 122.42124105],1
3,r4,1,0.0,33.931626,[179  70] ; [531  71],[207.74383079  41.25616921] ; [502.25616921  99.74383079],1
9,p8,1,0.0,29.139434,[ 74 170] ; [299 290],[109.25810324 134.74189676] ; [263.74189676 325.25810324],1
1,v4,1,2e-06,22.954259,[207  40] ; [561  35],[225.02491103  21.97508897] ; [542.97508897  53.02491103],1
8,p7,1,0.000133,14.604714,[109 133] ; [345 234],[133.82216809 108.17783191] ; [320.17783191 258.82216809],1
0,v2,1,0.000201,13.820548,[103 136] ; [331 246],[127.11519608 111.88480392] ; [306.88480392 270.11519608],1
7,p4,1,0.00088,11.064984,[105 140] ; [329 264],[126.88544153 118.11455847] ; [307.11455847 285.88544153],1
4,n4,1,0.000883,11.057207,[153  93] ; [440 157],[173.04626335  72.95373665] ; [419.95373665 177.04626335],1
