Feature,DoF,P Value,Chi Square,Is Significant
a1,1,0.000558,11.911395,1
b2,1,0.017378,5.657793,0
b3,1,0.017378,5.657793,0
a2,1,0.023017,5.167245,0
d2,1,0.026366,4.93184,0
a8,1,0.038483,4.283562,0
v3,1,0.043119,4.090732,0
u1,1,0.072857,3.217455,0
a4,1,0.099417,2.714868,0
p5,1,0.120117,2.415796,0
s8,1,0.165824,1.920298,0
d1,1,0.168415,1.896999,0
v2,1,0.268897,1.222366,0
s7,1,0.269387,1.219867,0
s3,1,0.404894,0.693743,0
b4,1,0.52558,0.402929,0
b5,1,0.592168,0.286972,0
n4,1,0.642323,0.215716,0
p4,1,0.643977,0.213578,0
s5,1,0.684565,0.165033,0
p6,1,0.69892,0.149598,0
p3,1,0.736393,0.113322,0
r1,1,0.742037,0.108344,0
p12,1,0.759937,0.093369,0
p7,1,0.77722,0.080057,0
s2,1,0.780425,0.07771,0
a7,1,0.789731,0.071107,0
p2,1,0.795298,0.067307,0
d5,1,0.837593,0.042014,0
a6,1,0.963354,0.002111,0
p8,1,0.979137,0.000684,0
