Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.0,44.265757,1
a7,1,0.00437,8.123498,1
s7,1,0.011583,6.373654,0
d5,1,0.022674,5.193321,0
n5,1,0.030595,4.675527,0
a3,1,0.031472,4.627041,0
r2,1,0.03595,4.399478,0
s6,1,0.036691,4.364685,0
s2,1,0.043894,4.060631,0
s4,1,0.046999,3.945438,0
s5,1,0.054734,3.690166,0
n6,1,0.078635,3.092889,0
d3,1,0.091401,2.849533,0
d1,1,0.135642,2.226713,0
s8,1,0.155511,2.017347,0
s3,1,0.167487,1.905291,0
n1,1,0.171997,1.865455,0
d2,1,0.197857,1.658125,0
p2,1,0.202762,1.622367,0
d4,1,0.211714,1.559666,0
u1,1,0.213477,1.547689,0
a5,1,0.331529,0.942917,0
p8,1,0.338501,0.916099,0
r4,1,0.348217,0.879944,0
a2,1,0.357459,0.846799,0
a8,1,0.360503,0.83614,0
b5,1,0.379351,0.772805,0
u3,1,0.409481,0.680307,0
a6,1,0.411612,0.674141,0
r1,1,0.443336,0.587632,0
p1,1,0.453924,0.560835,0
v3,1,0.468331,0.525912,0
a4,1,0.528246,0.397765,0
p12,1,0.593346,0.28515,0
p4,1,0.605916,0.266165,0
a1,1,0.60923,0.261298,0
b4,1,0.655719,0.198766,0
r3,1,0.688987,0.160184,0
p6,1,0.750125,0.101426,0
u2,1,0.769866,0.085586,0
s1,1,0.77913,0.078654,0
v4,1,0.822976,0.05005,0
n2,1,0.82535,0.048695,0
v1,1,0.834677,0.043559,0
p7,1,0.850406,0.03557,0
n3,1,0.887927,0.019861,0
n4,1,0.900203,0.015726,0
p5,1,0.920528,0.009954,0
p3,1,0.936323,0.006383,0
v2,1,0.967253,0.001685,0
b3,1,0.994561,4.6e-05,0
b2,1,0.994561,4.6e-05,0
