Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.0,58.368135,1
p3,1,0.0,29.380099,1
n5,1,1e-06,24.810583,1
p4,1,6e-06,20.468906,1
p8,1,1.2e-05,19.236762,1
p7,1,3.5e-05,17.120339,1
a5,1,5.3e-05,16.347435,1
s8,1,0.001034,10.765567,1
p5,1,0.001566,9.999033,1
s2,1,0.002454,9.174668,1
n4,1,0.002806,8.929243,1
s7,1,0.004255,8.171563,1
a3,1,0.004354,8.129771,1
s6,1,0.007618,7.121108,1
s3,1,0.008296,6.968343,1
v1,1,0.009256,6.772672,1
p6,1,0.021604,5.277405,0
p2,1,0.023615,5.122663,0
a2,1,0.0316,4.620067,0
n1,1,0.036421,4.377281,0
v3,1,0.05526,3.674211,0
d1,1,0.058428,3.581443,0
d5,1,0.079568,3.073713,0
p12,1,0.083415,2.997065,0
u2,1,0.088441,2.902524,0
s5,1,0.11752,2.450061,0
n6,1,0.118473,2.437396,0
v4,1,0.123158,2.376691,0
d4,1,0.132293,2.265384,0
r4,1,0.142353,2.15234,0
a4,1,0.145947,2.114113,0
v2,1,0.187215,1.739397,0
b4,1,0.19175,1.70412,0
b5,1,0.193968,1.687217,0
p1,1,0.231284,1.432949,0
r3,1,0.254794,1.296828,0
r1,1,0.301448,1.067778,0
a6,1,0.320623,0.986404,0
b2,1,0.321084,0.984527,0
b3,1,0.321084,0.984527,0
u3,1,0.34885,0.877637,0
d3,1,0.348887,0.8775,0
a1,1,0.379215,0.773245,0
a7,1,0.395771,0.721139,0
u1,1,0.439295,0.598123,0
r2,1,0.527545,0.399119,0
s4,1,0.651026,0.204609,0
u4,1,0.769699,0.085713,0
n2,1,0.773392,0.08291,0
s1,1,0.855721,0.03306,0
d2,1,0.895834,0.017142,0
a8,1,0.910842,0.012539,0
n3,1,0.934616,0.00673,0
