Feature,DoF,P Value,Chi Square,Is Significant
p12,1,0.000247,13.437094,1
a2,1,0.001533,10.038177,1
s7,1,0.004358,8.128223,1
p5,1,0.006747,7.339172,1
u1,1,0.017659,5.629629,0
p3,1,0.023004,5.168226,0
a4,1,0.023004,5.168226,0
d2,1,0.031264,4.638385,0
p4,1,0.041565,4.152824,0
v3,1,0.070713,3.266399,0
s6,1,0.078609,3.093434,0
a6,1,0.109154,2.566432,0
v1,1,0.156337,2.009302,0
a5,1,0.163357,1.942873,0
p8,1,0.199375,1.646944,0
d5,1,0.2351,1.409739,0
a7,1,0.267224,1.23094,0
s1,1,0.31955,0.990787,0
n4,1,0.327912,0.957127,0
p1,1,0.33052,0.94686,0
b4,1,0.381397,0.766193,0
p6,1,0.409395,0.680556,0
d3,1,0.437613,0.602535,0
r1,1,0.446104,0.580532,0
s5,1,0.474549,0.511364,0
b5,1,0.506673,0.440932,0
a1,1,0.508599,0.436949,0
s4,1,0.699988,0.148485,0
v2,1,0.710584,0.137694,0
p2,1,0.74371,0.106893,0
a8,1,1.0,0.0,0
p7,1,1.0,0.0,0
