Feature,DoF,P Value,Chi Square,Is Significant
v2,1,0.408961,0.681818,0
a8,1,0.452209,0.56511,0
p2,1,0.481924,0.494505,0
d3,1,0.481924,0.494505,0
v3,1,0.52179,0.410354,0
p12,1,0.588792,0.292235,0
p7,1,0.588792,0.292235,0
v1,1,0.591208,0.288462,0
p3,1,0.639207,0.21978,0
p1,1,0.639207,0.21978,0
s6,1,0.639207,0.21978,0
s4,1,0.639207,0.21978,0
s1,1,0.639207,0.21978,0
b4,1,0.639207,0.21978,0
a5,1,0.639207,0.21978,0
a6,1,0.639207,0.21978,0
a1,1,0.639207,0.21978,0
a4,1,0.639207,0.21978,0
a2,1,0.658273,0.195629,0
u1,1,0.84822,0.03663,0
b5,1,0.84822,0.03663,0
p6,1,0.887593,0.01998,0
s5,1,0.889243,0.019394,0
a7,1,0.918517,0.010466,0
p8,1,0.918517,0.010466,0
s7,1,0.94766,0.004309,0
d5,1,0.94766,0.004309,0
d2,1,0.94766,0.004309,0
n4,1,0.94766,0.004309,0
p4,1,0.94766,0.004309,0
r1,1,0.94766,0.004309,0
p5,1,0.959566,0.00257,0
