Feature,DoF,P Value,Chi Square,Is Significant
p10,1,0.0,143.408381,1
p9,1,0.0,135.050368,1
r3,1,0.0,124.45505,1
r4,1,0.0,124.005647,1
s2,1,0.0,86.292773,1
n6,1,0.0,83.16711,1
p2,1,0.0,81.044213,1
s8,1,0.0,77.349022,1
v4,1,0.0,73.354371,1
s3,1,0.0,67.797569,1
p4,1,0.0,65.509124,1
s7,1,0.0,62.261199,1
r1,1,0.0,48.231636,1
p7,1,0.0,46.177537,1
s5,1,0.0,44.262696,1
p8,1,0.0,39.017479,1
v1,1,0.0,35.805217,1
p3,1,0.0,32.546822,1
v2,1,0.0,32.504008,1
r2,1,0.0,31.197281,1
n5,1,0.0,28.415682,1
n4,1,0.0,26.611275,1
a5,1,6e-06,20.532276,1
d5,1,7e-06,20.127536,1
p6,1,1.3e-05,18.990721,1
d4,1,1.4e-05,18.896691,1
p5,1,0.000143,14.459299,1
d1,1,0.000367,12.692692,1
u3,1,0.000424,12.422364,1
u2,1,0.000584,11.827474,1
p12,1,0.000645,11.641954,1
v3,1,0.001215,10.467673,1
n2,1,0.001516,10.058464,1
b1,1,0.002034,9.518504,1
d3,1,0.002449,9.17843,1
a7,1,0.009513,6.723845,1
n3,1,0.013501,6.102265,0
s1,1,0.016059,5.796386,0
u1,1,0.023662,5.119203,0
a8,1,0.027568,4.854897,0
a3,1,0.034216,4.483874,0
a6,1,0.051308,3.798175,0
s4,1,0.057193,3.616957,0
b4,1,0.081212,3.040484,0
a2,1,0.164715,1.930398,0
a4,1,0.186294,1.746684,0
a1,1,0.248124,1.333837,0
p1,1,0.287257,1.132432,0
d2,1,0.458649,0.54919,0
b5,1,0.806862,0.059769,0
b2,1,0.810485,0.057504,0
b3,1,0.810485,0.057504,0
n1,1,0.843927,0.038759,0
