Feature,DoF,P Value,Chi Square,Is Significant
p5,1,8.8e-05,15.377774,1
s8,1,0.000225,13.611564,1
s2,1,0.000496,12.131967,1
p12,1,0.000871,11.084009,1
p3,1,0.001792,9.751768,1
a2,1,0.003072,8.764278,1
b3,1,0.007354,7.184406,1
b2,1,0.007354,7.184406,1
s3,1,0.011009,6.4639,0
s7,1,0.011781,6.343513,0
v3,1,0.043534,4.074546,0
a4,1,0.045053,4.016655,0
d2,1,0.056491,3.63753,0
u1,1,0.058103,3.590711,0
p4,1,0.062122,3.479812,0
v1,1,0.064728,3.411894,0
n1,1,0.0651,3.402446,0
p8,1,0.081758,3.02961,0
s6,1,0.082516,3.014645,0
n5,1,0.08593,2.949013,0
n2,1,0.111824,2.528259,0
p6,1,0.149821,2.074074,0
n3,1,0.152053,2.05153,0
a3,1,0.159512,1.978847,0
v2,1,0.174842,1.840932,0
b4,1,0.182174,1.779802,0
n4,1,0.184011,1.76493,0
a5,1,0.189456,1.72184,0
p2,1,0.220704,1.49979,0
a1,1,0.258454,1.277017,0
s1,1,0.271821,1.207534,0
d5,1,0.276071,1.186329,0
r1,1,0.355985,0.852007,0
a6,1,0.416866,0.659133,0
p1,1,0.436661,0.605042,0
n6,1,0.499491,0.456017,0
b5,1,0.613204,0.255535,0
d3,1,0.675526,0.175206,0
p7,1,0.701192,0.147235,0
s5,1,0.704304,0.144033,0
a8,1,0.768779,0.08642,0
s4,1,0.796713,0.066359,0
v4,1,0.905539,0.014082,0
a7,1,1.0,0.0,0
