Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.0,26.712039,1
s2,1,0.000207,13.77,1
s7,1,0.000223,13.628482,1
s5,1,0.001298,10.344707,1
s6,1,0.003559,8.4963,1
s8,1,0.007699,7.102154,1
p3,1,0.011793,6.341727,0
r3,1,0.038459,4.284597,0
a3,1,0.046279,3.971395,0
p4,1,0.053496,3.728358,0
s3,1,0.061681,3.491599,0
p1,1,0.10507,2.626844,0
v1,1,0.122985,2.378887,0
n5,1,0.127274,2.325441,0
a5,1,0.170458,1.878915,0
a1,1,0.200418,1.639325,0
p6,1,0.212377,1.555148,0
n1,1,0.221083,1.497326,0
d2,1,0.227549,1.456117,0
d5,1,0.227607,1.455756,0
a8,1,0.261527,1.260657,0
r4,1,0.267805,1.227956,0
u3,1,0.272306,1.205094,0
p7,1,0.319756,0.989942,0
s4,1,0.320919,0.985196,0
a6,1,0.322391,0.979222,0
b4,1,0.325284,0.967583,0
a2,1,0.353608,0.860465,0
a7,1,0.38608,0.751254,0
u2,1,0.485176,0.487206,0
v3,1,0.48684,0.483502,0
p2,1,0.489343,0.47797,0
p12,1,0.494862,0.465937,0
b5,1,0.540009,0.375523,0
d1,1,0.552366,0.353095,0
a4,1,0.564155,0.332561,0
d3,1,0.586765,0.295424,0
b2,1,0.592467,0.286508,0
b3,1,0.592467,0.286508,0
r1,1,0.611938,0.257363,0
p5,1,0.707775,0.14051,0
s1,1,0.7273,0.121605,0
n2,1,0.752044,0.099822,0
v2,1,0.76246,0.091356,0
p8,1,0.799955,0.064214,0
n6,1,0.85553,0.033149,0
n4,1,0.860996,0.030662,0
u1,1,0.87774,0.023665,0
n3,1,0.896505,0.01692,0
v4,1,0.90706,0.01363,0
d4,1,0.949524,0.004007,0
r2,1,0.997523,1e-05,0
