Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.000173,14.101144,1
s2,1,0.345877,0.888524,0
d3,1,0.373424,0.792238,0
r2,1,0.376645,0.781625,0
s4,1,0.382849,0.761534,0
s6,1,0.392094,0.732438,0
d1,1,0.395764,0.721158,0
v4,1,0.406201,0.689893,0
s8,1,0.47559,0.508959,0
d5,1,0.489756,0.477063,0
a5,1,0.493025,0.469919,0
d4,1,0.517246,0.419381,0
a7,1,0.547127,0.362488,0
p6,1,0.550592,0.356257,0
r4,1,0.558271,0.342707,0
p3,1,0.569713,0.323163,0
a2,1,0.573872,0.316246,0
s5,1,0.588311,0.292989,0
p7,1,0.622869,0.241856,0
v3,1,0.625918,0.237637,0
v2,1,0.629026,0.233384,0
p5,1,0.632246,0.229027,0
b5,1,0.634908,0.225463,0
s7,1,0.65128,0.20429,0
v1,1,0.65135,0.204203,0
p8,1,0.681036,0.168962,0
p4,1,0.682854,0.166931,0
b4,1,0.691855,0.157084,0
n5,1,0.732089,0.117202,0
r1,1,0.745012,0.10577,0
a1,1,0.75425,0.097995,0
u4,1,0.80921,0.058296,0
r3,1,0.810229,0.057662,0
s1,1,0.814274,0.055185,0
u1,1,0.816075,0.054101,0
b2,1,0.816755,0.053694,0
b3,1,0.816755,0.053694,0
a8,1,0.827703,0.047371,0
n3,1,0.834214,0.043807,0
s3,1,0.83483,0.043477,0
d2,1,0.845687,0.037879,0
n1,1,0.859803,0.031197,0
a4,1,0.860252,0.030995,0
p2,1,0.863921,0.029373,0
a6,1,0.869741,0.026892,0
u2,1,0.879051,0.023156,0
n6,1,0.937147,0.006218,0
p1,1,0.951242,0.003739,0
p12,1,0.957776,0.002803,0
u3,1,0.968952,0.001515,0
n2,1,0.987278,0.000254,0
n4,1,0.99002,0.000156,0
a3,1,0.993263,7.1e-05,0
