Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.000106,15.024445,1
s5,1,0.002211,9.365317,1
s8,1,0.004503,8.068834,1
s7,1,0.010823,6.494125,0
s2,1,0.016281,5.77229,0
s6,1,0.023064,5.163705,0
u3,1,0.060935,3.511764,0
p2,1,0.06477,3.410821,0
p6,1,0.069391,3.297375,0
p7,1,0.148344,2.089195,0
v4,1,0.201893,1.628629,0
n6,1,0.207673,1.587572,0
p12,1,0.212203,1.556332,0
v1,1,0.217429,1.521261,0
r1,1,0.241517,1.371716,0
p4,1,0.26399,1.247711,0
a3,1,0.27169,1.208193,0
n5,1,0.294462,1.099109,0
n3,1,0.300068,1.073893,0
d2,1,0.306886,1.044032,0
d5,1,0.346323,0.886883,0
r4,1,0.352858,0.863151,0
p3,1,0.354688,0.856613,0
u2,1,0.374572,0.788439,0
a6,1,0.415197,0.663871,0
n4,1,0.426362,0.632713,0
s1,1,0.475838,0.508387,0
s3,1,0.479618,0.499731,0
n2,1,0.506921,0.440417,0
b2,1,0.555319,0.347875,0
b3,1,0.555319,0.347875,0
d4,1,0.572862,0.317918,0
v3,1,0.57329,0.317209,0
s4,1,0.577615,0.310106,0
v2,1,0.636498,0.223351,0
r2,1,0.642751,0.215162,0
a4,1,0.646339,0.210547,0
r3,1,0.69946,0.149034,0
p1,1,0.720449,0.128063,0
d1,1,0.733792,0.115659,0
a2,1,0.760363,0.093028,0
b4,1,0.772269,0.083757,0
b5,1,0.826458,0.048069,0
a5,1,0.846902,0.037277,0
p8,1,0.860213,0.031012,0
u1,1,0.87391,0.025184,0
a1,1,0.887825,0.019897,0
u4,1,0.889398,0.019339,0
d3,1,0.914871,0.011427,0
n1,1,0.916231,0.011063,0
p5,1,0.916863,0.010896,0
a8,1,0.943045,0.005104,0
a7,1,0.950553,0.003845,0
