Feature,DoF,P Value,Chi Square,Is Significant
p12,1,0.000902,11.018911,1
p5,1,0.001013,10.802906,1
a2,1,0.003086,8.756168,1
a4,1,0.041452,4.157429,0
u1,1,0.045992,3.98188,0
p8,1,0.048593,3.889342,0
p3,1,0.055509,3.666732,0
a6,1,0.086473,2.938831,0
v3,1,0.092642,2.827854,0
p4,1,0.118958,2.430985,0
d2,1,0.159487,1.979083,0
v1,1,0.222081,1.490873,0
s7,1,0.224484,1.475471,0
n4,1,0.269433,1.219632,0
a5,1,0.303926,1.056887,0
s1,1,0.334737,0.930485,0
p6,1,0.384175,0.7573,0
s6,1,0.414499,0.66586,0
b4,1,0.48686,0.483458,0
v2,1,0.491996,0.472158,0
d5,1,0.572974,0.317733,0
r1,1,0.586829,0.295324,0
d3,1,0.627884,0.234941,0
a8,1,0.636698,0.223086,0
s5,1,0.695508,0.153187,0
p2,1,0.69636,0.152286,0
a1,1,0.725738,0.123061,0
a7,1,0.777429,0.079903,0
s4,1,0.791552,0.069852,0
p1,1,0.852772,0.034441,0
p7,1,0.980445,0.000601,0
b5,1,0.980802,0.000579,0
