Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.0,142.760801,1
p2,1,0.0,29.256403,1
p7,1,0.0,27.866414,1
p3,1,0.0,25.268872,1
p8,1,1e-06,23.659967,1
p4,1,1e-06,23.530082,1
v4,1,1e-06,23.41142,1
n5,1,3e-06,21.872124,1
n6,1,4e-06,21.106186,1
s6,1,9e-06,19.66115,1
s8,1,1.2e-05,19.186149,1
n4,1,1.8e-05,18.384726,1
r3,1,1.9e-05,18.258157,1
r4,1,8.2e-05,15.507408,1
s2,1,0.000494,12.138092,1
v1,1,0.000742,11.381618,1
p6,1,0.001,10.82847,1
s7,1,0.001603,9.956783,1
a5,1,0.001845,9.697768,1
s5,1,0.002277,9.311725,1
u3,1,0.004917,7.909791,1
v2,1,0.005601,7.674311,1
p5,1,0.006724,7.345187,1
d5,1,0.007842,7.069176,1
p12,1,0.011397,6.402386,0
v3,1,0.019581,5.448858,0
u2,1,0.026971,4.892694,0
d4,1,0.031864,4.605787,0
r1,1,0.038957,4.262741,0
s1,1,0.050566,3.822584,0
d1,1,0.055424,3.669277,0
s3,1,0.089658,2.880497,0
r2,1,0.112225,2.522612,0
n3,1,0.151148,2.060624,0
a3,1,0.172879,1.857802,0
n2,1,0.177848,1.815517,0
d3,1,0.28554,1.140531,0
d2,1,0.293348,1.104191,0
a7,1,0.40037,0.707214,0
a2,1,0.488745,0.479287,0
a6,1,0.494977,0.46569,0
p1,1,0.570197,0.322354,0
b3,1,0.572215,0.31899,0
b2,1,0.572215,0.31899,0
a1,1,0.613139,0.255629,0
s4,1,0.634791,0.22562,0
n1,1,0.645962,0.21103,0
a4,1,0.65311,0.202002,0
a8,1,0.665747,0.186618,0
b5,1,0.889629,0.019258,0
u1,1,0.932023,0.007276,0
b4,1,0.959893,0.002529,0
