Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.0,37.268105,1
s2,1,0.000275,13.236159,1
s6,1,0.005133,7.832055,1
p3,1,0.005282,7.780419,1
s5,1,0.007933,7.048468,1
s8,1,0.010287,6.584544,0
s7,1,0.019828,5.427009,0
p6,1,0.033021,4.544687,0
p4,1,0.060657,3.519317,0
p5,1,0.092742,2.826123,0
v1,1,0.096283,2.766062,0
p7,1,0.105575,2.619235,0
a5,1,0.117464,2.450809,0
r3,1,0.119052,2.429748,0
s4,1,0.130214,2.289947,0
d3,1,0.146431,2.109043,0
a2,1,0.149127,2.081153,0
b4,1,0.159383,1.980066,0
s3,1,0.176079,1.830407,0
p8,1,0.17638,1.827864,0
v3,1,0.199691,1.644633,0
n1,1,0.200383,1.639584,0
d5,1,0.200405,1.639423,0
d1,1,0.244947,1.351897,0
a8,1,0.279502,1.169507,0
v4,1,0.345655,0.889344,0
p1,1,0.378964,0.774061,0
a7,1,0.391621,0.733903,0
r4,1,0.410914,0.676154,0
v2,1,0.411637,0.674069,0
n5,1,0.427407,0.629858,0
d4,1,0.429014,0.62549,0
s1,1,0.448584,0.574228,0
u3,1,0.455083,0.557961,0
b5,1,0.551993,0.353759,0
a1,1,0.566908,0.327883,0
r2,1,0.584996,0.298226,0
a3,1,0.598169,0.277766,0
a6,1,0.649577,0.206434,0
r1,1,0.659291,0.194386,0
n6,1,0.677434,0.173028,0
a4,1,0.705638,0.142673,0
p12,1,0.754997,0.09738,0
d2,1,0.768387,0.086722,0
n3,1,0.830516,0.045813,0
n4,1,0.913094,0.011911,0
n2,1,0.922666,0.009424,0
u2,1,0.970775,0.001342,0
p2,1,0.975328,0.000956,0
b3,1,0.977398,0.000803,0
b2,1,0.977398,0.000803,0
u1,1,0.996492,1.9e-05,0
