Feature,DoF,P Value,Chi Square,Is Significant
n6,1,0.000484,12.17462,1
n1,1,0.001372,10.242785,1
p3,1,0.001889,9.654295,1
a7,1,0.0028,8.933594,1
p9,1,0.002875,8.885144,1
a1,1,0.016845,5.712467,0
a4,1,0.019544,5.452159,0
p6,1,0.021406,5.29346,0
p7,1,0.02307,5.163248,0
r2,1,0.028782,4.780631,0
p2,1,0.047722,3.91975,0
d3,1,0.049028,3.874407,0
p5,1,0.064016,3.430152,0
u4,1,0.076843,3.130438,0
a5,1,0.086444,2.939369,0
a3,1,0.088366,2.903887,0
r3,1,0.097144,2.751824,0
d2,1,0.125322,2.349517,0
v4,1,0.128256,2.313494,0
a2,1,0.131442,2.275386,0
r4,1,0.134459,2.240253,0
b5,1,0.13853,2.194217,0
p8,1,0.143298,2.142181,0
n4,1,0.145049,2.123561,0
s8,1,0.14907,2.081743,0
n5,1,0.150779,2.064347,0
d5,1,0.170015,1.882811,0
p4,1,0.18002,1.797458,0
a6,1,0.18669,1.743544,0
u3,1,0.207252,1.590518,0
v2,1,0.256931,1.285217,0
s6,1,0.257737,1.28087,0
p10,1,0.268366,1.225078,0
u2,1,0.316609,1.002905,0
s3,1,0.317016,1.001218,0
p12,1,0.376186,0.783129,0
b4,1,0.383145,0.760586,0
s4,1,0.394605,0.724706,0
s1,1,0.483357,0.49128,0
s5,1,0.485052,0.487483,0
n2,1,0.550115,0.357111,0
s2,1,0.599421,0.27587,0
b3,1,0.656766,0.197475,0
b2,1,0.656766,0.197475,0
v3,1,0.731633,0.117618,0
r1,1,0.765814,0.088717,0
p1,1,0.7843,0.074923,0
s7,1,0.845061,0.038191,0
v1,1,0.874644,0.024889,0
u1,1,0.892966,0.018104,0
a8,1,0.898332,0.016325,0
d1,1,0.911391,0.012384,0
n3,1,0.933911,0.006877,0
d4,1,0.937166,0.006215,0
