Feature,DoF,P Value,Chi Square,Is Significant
p2,1,0.30212,1.064814,0
p4,1,0.374913,0.787315,0
p3,1,0.396297,0.719534,0
n6,1,0.413423,0.668936,0
a1,1,0.466466,0.530335,0
p8,1,0.469435,0.523305,0
n5,1,0.474308,0.511923,0
r3,1,0.484866,0.4879,0
s4,1,0.489018,0.478686,0
v1,1,0.526526,0.401092,0
p7,1,0.552125,0.353525,0
s1,1,0.576059,0.31265,0
n4,1,0.598947,0.276587,0
p12,1,0.601341,0.272978,0
u2,1,0.60349,0.269765,0
v4,1,0.609562,0.260813,0
a5,1,0.634823,0.225577,0
s7,1,0.665361,0.187076,0
p9,1,0.697118,0.151487,0
r2,1,0.703793,0.144556,0
a8,1,0.714813,0.133517,0
s6,1,0.716425,0.131944,0
a3,1,0.721153,0.127391,0
b3,1,0.733547,0.115879,0
b2,1,0.733547,0.115879,0
n1,1,0.7366,0.113138,0
s3,1,0.740748,0.109471,0
r4,1,0.757282,0.095513,0
v3,1,0.763414,0.090601,0
u3,1,0.772655,0.083465,0
p5,1,0.772719,0.083417,0
s8,1,0.785537,0.074044,0
v2,1,0.789169,0.071497,0
p1,1,0.791999,0.069546,0
d4,1,0.815176,0.054641,0
b5,1,0.816855,0.053635,0
a7,1,0.849654,0.035933,0
b4,1,0.879561,0.02296,0
u1,1,0.899308,0.016011,0
d3,1,0.908252,0.013281,0
n2,1,0.920447,0.009974,0
r1,1,0.92111,0.009808,0
n3,1,0.92493,0.008878,0
d1,1,0.92938,0.007854,0
a4,1,0.933244,0.007016,0
a2,1,0.934466,0.006761,0
p6,1,0.945075,0.004746,0
s2,1,0.948021,0.00425,0
d5,1,0.956481,0.002978,0
a6,1,0.969363,0.001475,0
d2,1,0.971907,0.00124,0
s5,1,0.980678,0.000587,0
