Feature,DoF,P Value,Chi Square,Is Significant
u1,1,0.05334,3.733246,0
n1,1,0.105645,2.618182,0
s7,1,0.123208,2.376059,0
p2,1,0.141351,2.163192,0
s6,1,0.157572,1.997376,0
a4,1,0.20541,1.603485,0
n5,1,0.222582,1.487647,0
p6,1,0.226907,1.460148,0
v1,1,0.229186,1.445908,0
s2,1,0.267505,1.229494,0
p7,1,0.267981,1.227052,0
s8,1,0.323499,0.974746,0
a5,1,0.335311,0.928276,0
p1,1,0.367219,0.813053,0
p9,1,0.381179,0.766897,0
a6,1,0.4011,0.705026,0
v2,1,0.414031,0.667196,0
s3,1,0.414049,0.667143,0
n6,1,0.424958,0.636564,0
b2,1,0.506457,0.441379,0
b3,1,0.506457,0.441379,0
v3,1,0.526079,0.40196,0
p8,1,0.535083,0.38473,0
n3,1,0.567328,0.327174,0
a2,1,0.600954,0.273559,0
p4,1,0.65792,0.19606,0
u3,1,0.677415,0.17305,0
a7,1,0.684979,0.164575,0
u2,1,0.727897,0.121052,0
n2,1,0.799389,0.064586,0
d3,1,0.822458,0.050349,0
v4,1,0.842895,0.03928,0
a3,1,0.84961,0.035954,0
b4,1,0.886161,0.020496,0
b5,1,0.898311,0.016332,0
p3,1,0.905618,0.014058,0
