Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.0,315.997426,1
p2,1,0.0,76.134503,1
r3,1,0.0,68.632203,1
n6,1,0.0,61.00128,1
r4,1,0.0,60.967221,1
v4,1,0.0,43.344974,1
p8,1,0.0,38.011322,1
n5,1,0.0,34.666975,1
p7,1,0.0,26.303601,1
p4,1,1e-06,24.906313,1
r2,1,1e-06,24.119042,1
s8,1,8e-06,19.911854,1
r1,1,1.7e-05,18.517152,1
a7,1,2.4e-05,17.837969,1
a5,1,3.5e-05,17.121708,1
v1,1,4.4e-05,16.68377,1
v2,1,4.5e-05,16.654009,1
a6,1,4.5e-05,16.64687,1
s6,1,5e-05,16.447162,1
s7,1,8.8e-05,15.388319,1
a3,1,0.000138,14.535267,1
s2,1,0.000267,13.286019,1
d3,1,0.000597,11.784618,1
d1,1,0.000901,11.020245,1
s5,1,0.00102,10.791168,1
s3,1,0.001069,10.704576,1
p3,1,0.001113,10.628957,1
n4,1,0.00122,10.460442,1
d5,1,0.001935,9.61039,1
d4,1,0.0046,8.030492,1
p12,1,0.004821,7.945254,1
v3,1,0.006255,7.475282,1
s1,1,0.011075,6.453178,0
p5,1,0.012834,6.19182,0
p6,1,0.015607,5.846583,0
n2,1,0.032529,4.570381,0
u2,1,0.037258,4.338584,0
a1,1,0.066505,3.367254,0
b5,1,0.068868,3.309796,0
u1,1,0.071724,3.24311,0
u4,1,0.122695,2.382583,0
n3,1,0.153641,2.035722,0
b2,1,0.181284,1.787068,0
b3,1,0.181284,1.787068,0
n1,1,0.283118,1.152063,0
a2,1,0.297029,1.087487,0
p1,1,0.480423,0.497903,0
a4,1,0.61825,0.248335,0
a8,1,0.693979,0.154811,0
d2,1,0.729879,0.119223,0
s4,1,0.812713,0.056135,0
u3,1,0.929523,0.007822,0
b4,1,0.997757,8e-06,0
