Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.14651,2.108211,0
n6,1,0.165899,1.91962,0
v4,1,0.244982,1.351698,0
p3,1,0.294596,1.098496,0
d3,1,0.295308,1.095263,0
b5,1,0.297635,1.084762,0
a4,1,0.329757,0.94985,0
a3,1,0.332026,0.940978,0
a7,1,0.33345,0.935453,0
r2,1,0.349233,0.876242,0
n5,1,0.358478,0.843219,0
n1,1,0.360283,0.836907,0
p7,1,0.396895,0.717715,0
v2,1,0.445823,0.58125,0
s6,1,0.463055,0.5385,0
n4,1,0.48062,0.497457,0
d2,1,0.488883,0.478983,0
a1,1,0.505476,0.44342,0
p2,1,0.512059,0.429858,0
r3,1,0.530035,0.394324,0
a5,1,0.530531,0.393375,0
b3,1,0.536134,0.382753,0
b2,1,0.536134,0.382753,0
p6,1,0.555798,0.347032,0
u2,1,0.556475,0.345844,0
p12,1,0.570084,0.322542,0
p5,1,0.587313,0.294561,0
r4,1,0.635791,0.22429,0
p8,1,0.639669,0.219175,0
v3,1,0.645432,0.211708,0
a2,1,0.652901,0.202262,0
p4,1,0.671343,0.180035,0
s3,1,0.674129,0.17681,0
d5,1,0.696739,0.151887,0
u3,1,0.708694,0.139585,0
s8,1,0.721634,0.126932,0
v1,1,0.729126,0.119916,0
a6,1,0.734643,0.114891,0
s5,1,0.760475,0.092938,0
b4,1,0.791467,0.069911,0
s1,1,0.801789,0.063017,0
p1,1,0.806592,0.059939,0
d1,1,0.831536,0.045255,0
s4,1,0.846722,0.037366,0
n3,1,0.854938,0.033424,0
r1,1,0.908103,0.013324,0
u1,1,0.932365,0.007203,0
n2,1,0.933316,0.007001,0
d4,1,0.965101,0.001914,0
a8,1,0.966284,0.001787,0
s7,1,0.968177,0.001592,0
s2,1,0.990911,0.00013,0
