Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.0,52.919783,1
s2,1,0.000292,13.122876,1
s6,1,0.002413,9.205327,1
s7,1,0.002747,8.968602,1
s5,1,0.003307,8.630089,1
s8,1,0.009814,6.668408,1
s4,1,0.02757,4.854744,0
a7,1,0.034229,4.483249,0
d5,1,0.038818,4.268819,0
d3,1,0.058397,3.582324,0
p3,1,0.060557,3.522051,0
n5,1,0.0881,2.908758,0
s3,1,0.091159,2.853782,0
d1,1,0.107454,2.591276,0
a5,1,0.109237,2.565224,0
p4,1,0.11278,2.514833,0
a2,1,0.12537,2.348921,0
a3,1,0.12923,2.301732,0
r2,1,0.137927,2.20094,0
b1,1,0.172275,1.863032,0
r3,1,0.189481,1.721648,0
p6,1,0.194252,1.685068,0
v3,1,0.196085,1.671293,0
v1,1,0.206298,1.597216,0
b4,1,0.221224,1.496415,0
d4,1,0.228282,1.451532,0
p5,1,0.229232,1.445623,0
a8,1,0.229369,1.444772,0
p1,1,0.291439,1.112961,0
p7,1,0.302857,1.061569,0
v4,1,0.439347,0.597986,0
r1,1,0.47553,0.509098,0
p2,1,0.476894,0.505957,0
n6,1,0.48684,0.483504,0
s1,1,0.491217,0.47386,0
u1,1,0.507586,0.43904,0
a4,1,0.546111,0.36433,0
v2,1,0.578861,0.30808,0
p12,1,0.603715,0.269429,0
d2,1,0.621197,0.244189,0
p8,1,0.683547,0.16616,0
n3,1,0.821486,0.050911,0
u2,1,0.881784,0.022114,0
n4,1,0.885731,0.020652,0
a6,1,0.896558,0.016903,0
a1,1,0.931029,0.007491,0
n1,1,0.932235,0.007231,0
n2,1,0.957395,0.002854,0
b5,1,0.959993,0.002516,0
r4,1,0.975189,0.000967,0
b2,1,0.980698,0.000585,0
b3,1,0.980698,0.000585,0
u3,1,0.981629,0.00053,0
