Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.0,169.558827,1
p11,1,0.0,51.752302,1
n5,1,0.0,42.932491,1
s8,1,0.0,41.789608,1
p7,1,0.0,38.714991,1
p4,1,0.0,37.484437,1
p3,1,0.0,37.478478,1
p8,1,0.0,37.0446,1
p2,1,0.0,34.203663,1
s7,1,0.0,29.25138,1
s2,1,0.0,28.932229,1
s6,1,2e-06,23.03899,1
a5,1,2e-06,22.551886,1
n6,1,3e-06,21.578226,1
a3,1,4e-06,21.261227,1
r4,1,7e-06,20.258438,1
p6,1,7e-06,20.063608,1
n4,1,1.3e-05,19.077928,1
v1,1,2.1e-05,18.074689,1
s5,1,3.6e-05,17.050402,1
s3,1,8e-05,15.558832,1
v4,1,8.8e-05,15.380552,1
r3,1,0.000176,14.07259,1
p5,1,0.000196,13.870218,1
r1,1,0.00049,12.153006,1
d1,1,0.001609,9.949227,1
p12,1,0.002496,9.143334,1
u2,1,0.0026,9.068757,1
d5,1,0.003539,8.506187,1
v2,1,0.005557,7.688491,1
d4,1,0.006549,7.392745,1
v3,1,0.012237,6.276145,0
r2,1,0.023291,5.146663,0
u3,1,0.026641,4.913944,0
a4,1,0.032843,4.553939,0
b5,1,0.04034,4.203523,0
a2,1,0.045416,4.003139,0
a7,1,0.080355,3.057717,0
s1,1,0.094092,2.802937,0
a6,1,0.114037,2.497365,0
n1,1,0.117414,2.451476,0
u1,1,0.117535,2.44987,0
d2,1,0.12215,2.389541,0
d3,1,0.137425,2.206553,0
n3,1,0.152314,2.048924,0
n2,1,0.190893,1.710715,0
p1,1,0.322588,0.978425,0
b3,1,0.403229,0.698676,0
b2,1,0.403229,0.698676,0
b4,1,0.540324,0.37494,0
a1,1,0.808993,0.058431,0
s4,1,0.823498,0.049751,0
a8,1,0.886588,0.020341,0
