Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.0,215.693769,1
n6,1,0.0,43.334131,1
p2,1,0.0,38.561602,1
v4,1,0.0,36.197333,1
r4,1,0.0,35.421317,1
r3,1,0.0,34.297889,1
s6,1,2.4e-05,17.839722,1
n4,1,4.5e-05,16.661164,1
s8,1,0.00012,14.80022,1
n5,1,0.000127,14.680236,1
p7,1,0.000154,14.323635,1
r2,1,0.001076,10.692537,1
d5,1,0.001177,10.526131,1
s5,1,0.002982,8.818161,1
p4,1,0.004198,8.196278,1
u3,1,0.006706,7.350139,1
s7,1,0.006802,7.324639,1
s1,1,0.007512,7.146236,1
d4,1,0.008641,6.895497,1
r1,1,0.009832,6.665161,1
v2,1,0.012689,6.212006,0
p8,1,0.013772,6.067195,0
s2,1,0.01794,5.60195,0
p6,1,0.019244,5.479191,0
v1,1,0.025982,4.957236,0
a1,1,0.034343,4.477524,0
n2,1,0.039692,4.231002,0
p3,1,0.042233,4.125823,0
d1,1,0.050031,3.840407,0
n3,1,0.068533,3.317803,0
u2,1,0.076015,3.148108,0
v3,1,0.089064,2.891202,0
n1,1,0.144309,2.131398,0
a7,1,0.164145,1.935622,0
a5,1,0.181401,1.78611,0
b4,1,0.216861,1.525021,0
p5,1,0.232596,1.424916,0
d3,1,0.336318,0.924417,0
a3,1,0.350699,0.870928,0
s4,1,0.390092,0.738656,0
a8,1,0.441243,0.593049,0
a6,1,0.507733,0.438736,0
s3,1,0.547502,0.361812,0
b5,1,0.555518,0.347524,0
a2,1,0.688084,0.161167,0
d2,1,0.763442,0.090579,0
a4,1,0.782424,0.076265,0
u1,1,0.820719,0.051357,0
p1,1,0.850713,0.035423,0
b3,1,0.997823,7e-06,0
b2,1,0.997823,7e-06,0
