Feature,DoF,P Value,Chi Square,Is Significant
s8,1,0.000573,11.861237,1
p12,1,0.000789,11.266374,1
p8,1,0.001588,9.974043,1
b3,1,0.002771,8.952503,1
b2,1,0.002771,8.952503,1
s2,1,0.002782,8.945098,1
s3,1,0.004479,8.078737,1
u1,1,0.007958,7.042948,1
p9,1,0.008834,6.856139,1
d2,1,0.009911,6.650818,1
p5,1,0.011518,6.383548,0
s7,1,0.014159,6.018251,0
a2,1,0.019728,5.435783,0
p6,1,0.025094,5.017361,0
a4,1,0.041203,4.167632,0
n5,1,0.043248,4.085667,0
p4,1,0.043654,4.069906,0
v2,1,0.044474,4.038462,0
n6,1,0.046226,3.973328,0
n4,1,0.055009,3.681818,0
v1,1,0.073171,3.210421,0
r1,1,0.073638,3.2,0
p3,1,0.082913,3.006849,0
s6,1,0.103036,2.65791,0
a5,1,0.130824,2.282698,0
d5,1,0.185377,1.753979,0
a3,1,0.217772,1.518993,0
v3,1,0.234114,1.41569,0
n1,1,0.267642,1.228792,0
a6,1,0.279901,1.167569,0
s4,1,0.329332,0.951522,0
b4,1,0.337392,0.920315,0
v4,1,0.383303,0.760083,0
s5,1,0.439019,0.598845,0
p10,1,0.447392,0.577251,0
d3,1,0.499452,0.456101,0
p1,1,0.52939,0.395563,0
n3,1,0.551926,0.353878,0
n2,1,0.694249,0.154524,0
a7,1,0.702828,0.145547,0
u3,1,0.747415,0.103716,0
b5,1,0.836664,0.042503,0
s1,1,0.85504,0.033376,0
a1,1,0.865308,0.028771,0
a8,1,0.877956,0.023581,0
p2,1,0.910272,0.0127,0
u2,1,0.974346,0.001034,0
p7,1,0.974816,0.000997,0
