Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.0,66.875325,1
p11,1,8e-06,19.964007,1
p2,1,0.001244,10.424004,1
n6,1,0.001519,10.055463,1
r4,1,0.002596,9.071805,1
v4,1,0.005042,7.864359,1
n5,1,0.005292,7.776885,1
r3,1,0.007653,7.113038,1
s8,1,0.007728,7.095489,1
p8,1,0.008909,6.840994,1
p4,1,0.009314,6.761663,1
p7,1,0.012241,6.275568,0
s6,1,0.012935,6.177984,0
s2,1,0.022591,5.199657,0
s7,1,0.024381,5.067333,0
p3,1,0.024475,5.060646,0
a5,1,0.035831,4.40513,0
v1,1,0.047043,3.943854,0
d1,1,0.059245,3.558388,0
r2,1,0.059382,3.554558,0
n4,1,0.062574,3.467809,0
r1,1,0.077753,3.111252,0
d5,1,0.08446,2.976914,0
s5,1,0.097338,2.748627,0
v2,1,0.099509,2.713388,0
p6,1,0.100416,2.698919,0
d4,1,0.10802,2.582955,0
a3,1,0.116354,2.465727,0
s3,1,0.118061,2.44286,0
p12,1,0.126621,2.333455,0
p5,1,0.140378,2.173812,0
a7,1,0.159887,1.975295,0
d3,1,0.174731,1.841882,0
v3,1,0.185449,1.753406,0
a6,1,0.235657,1.406388,0
u2,1,0.261222,1.26227,0
b1,1,0.324009,0.972694,0
n2,1,0.339891,0.910844,0
s1,1,0.340286,0.909354,0
a2,1,0.348076,0.880459,0
u1,1,0.375613,0.785012,0
b2,1,0.376141,0.783275,0
b3,1,0.376141,0.783275,0
a4,1,0.486163,0.485008,0
u3,1,0.48641,0.484458,0
n3,1,0.495845,0.463818,0
d2,1,0.667902,0.184066,0
p1,1,0.702715,0.145663,0
s4,1,0.775059,0.081661,0
b5,1,0.789868,0.071012,0
a8,1,0.855539,0.033144,0
a1,1,0.901776,0.015232,0
n1,1,0.964729,0.001955,0
b4,1,0.965944,0.001823,0
