Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.0,181.179479,1
p2,1,0.0,65.368763,1
r3,1,0.0,56.479865,1
n6,1,0.0,53.537055,1
r4,1,0.0,47.951106,1
p8,1,0.0,47.35199,1
v4,1,0.0,37.832568,1
p7,1,0.0,36.204251,1
n5,1,0.0,29.42501,1
p4,1,0.0,28.060208,1
n4,1,1e-06,24.561543,1
b1,1,8e-06,19.836177,1
p3,1,1.5e-05,18.72905,1
s8,1,3.9e-05,16.920555,1
v2,1,7.9e-05,15.57659,1
v1,1,0.0001,15.142026,1
a5,1,0.000221,13.643884,1
r1,1,0.000332,12.882025,1
s6,1,0.000537,11.984295,1
p12,1,0.000592,11.802425,1
r2,1,0.001056,10.726869,0
p6,1,0.002455,9.173473,0
a6,1,0.003064,8.769136,0
s1,1,0.003642,8.454163,0
p5,1,0.005891,7.583394,0
s7,1,0.006525,7.399416,0
d4,1,0.006849,7.312235,0
d1,1,0.008727,6.877944,0
u2,1,0.009426,6.740336,0
v3,1,0.014068,6.029528,0
a3,1,0.019382,5.466746,0
d5,1,0.021985,5.247005,0
s2,1,0.026675,4.911731,0
s3,1,0.029677,4.727925,0
n2,1,0.041732,4.146032,0
s5,1,0.042038,4.133683,0
d3,1,0.075402,3.161316,0
a7,1,0.079611,3.072829,0
n3,1,0.087898,2.912462,0
u3,1,0.10044,2.698541,0
a1,1,0.209339,1.575993,0
b2,1,0.217299,1.522116,0
b3,1,0.217299,1.522116,0
b5,1,0.310585,1.028185,0
s4,1,0.312345,1.020735,0
b4,1,0.318753,0.994056,0
a8,1,0.321731,0.981895,0
u1,1,0.386918,0.748607,0
n1,1,0.562173,0.335956,0
a4,1,0.586715,0.295504,0
d2,1,0.66446,0.188151,0
a2,1,0.683689,0.166002,0
p1,1,0.88051,0.022597,0
u4,1,0.898854,0.016157,0
