Feature,DoF,P Value,Chi Square,Is Significant
s8,1,0.000386,12.60061,1
b3,1,0.000401,12.525603,1
b2,1,0.000401,12.525603,1
d2,1,0.0007,11.489187,1
d1,1,0.001894,9.64947,0
a2,1,0.002288,9.302856,0
s7,1,0.002364,9.243226,0
s2,1,0.004254,8.172136,0
u1,1,0.004277,8.162418,0
s3,1,0.00493,7.904997,0
v1,1,0.009724,6.684738,0
s6,1,0.013434,6.110984,0
a4,1,0.015158,5.89804,0
n5,1,0.023593,5.124298,0
p12,1,0.027608,4.85239,0
p5,1,0.030572,4.67685,0
a1,1,0.042263,4.124655,0
a3,1,0.042486,4.115728,0
n1,1,0.052319,3.765549,0
a5,1,0.054809,3.6879,0
b1,1,0.061435,3.498218,0
v3,1,0.073144,3.211026,0
p4,1,0.088303,2.905041,0
d4,1,0.089608,2.881398,0
p9,1,0.100459,2.698245,0
n6,1,0.104575,2.634352,0
n4,1,0.13152,2.274467,0
p6,1,0.139559,2.182812,0
a8,1,0.154212,2.030085,0
v2,1,0.166731,1.912095,0
s4,1,0.17071,1.876696,0
r1,1,0.187419,1.737788,0
d5,1,0.20576,1.601012,0
p3,1,0.234487,1.413437,0
p2,1,0.302668,1.062401,0
p8,1,0.34446,0.893763,0
p10,1,0.36992,0.803935,0
d3,1,0.421011,0.647492,0
b4,1,0.454994,0.558182,0
n2,1,0.574177,0.315744,0
p11,1,0.607022,0.264535,0
b5,1,0.629273,0.233048,0
n3,1,0.632736,0.228369,0
v4,1,0.649636,0.20636,0
s5,1,0.684058,0.165594,0
a6,1,0.684316,0.165308,0
s1,1,0.770948,0.08476,0
p7,1,0.795723,0.067022,0
p1,1,0.833162,0.044372,0
u3,1,0.874782,0.024834,0
u2,1,0.896268,0.016998,0
a7,1,0.993674,6.3e-05,0
