Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,6.1e-05,16.064441,[ 88 289] ; [184 329],[115.21797753 261.78202247] ; [156.78202247 356.21797753],1
p6,1,0.001081,10.684257,[ 53 322] ; [118 398],[ 71.96969697 303.03030303] ; [ 99.03030303 416.96969697],0
p2,1,0.007872,7.062323,[244 135] ; [380 143],[262.19068736 116.80931264] ; [361.80931264 161.19068736],0
p1,1,0.01688,5.708809,[ 35 343] ; [ 27 495],[ 26.04 351.96] ; [ 35.96 486.04],0
p11,1,0.095313,2.782266,[246 133] ; [369 157],[257.55248619 121.44751381] ; [357.44751381 168.55248619],0
p12,1,0.109098,2.567238,[ 25 351] ; [ 22 498],[ 19.72321429 356.27678571] ; [ 27.27678571 492.72321429],0
p10,1,0.144761,2.12661,[244 129] ; [360 154],[253.99323563 119.00676437] ; [350.00676437 163.99323563],0
p4,1,0.202836,1.621839,[149 229] ; [183 336],[139.90635452 238.09364548] ; [192.09364548 326.90635452],0
b1,1,0.404441,0.695082,[145 234] ; [187 339],[139.03646409 239.96353591] ; [192.96353591 333.03646409],0
p9,1,0.474966,0.510399,[267 102] ; [380 130],[271.60750853  97.39249147] ; [375.39249147 134.60750853],0
p5,1,0.489358,0.477938,[ 22 354] ; [ 25 495],[ 19.72321429 356.27678571] ; [ 27.27678571 492.72321429],0
