Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.000295,13.100521,1
a1,1,0.002139,9.426124,1
p11,1,0.002343,9.259505,1
n6,1,0.003517,8.517498,1
a3,1,0.00433,8.139794,1
p3,1,0.004462,8.085564,1
r2,1,0.005282,7.780167,1
n1,1,0.005797,7.612259,1
r3,1,0.006166,7.501129,1
a7,1,0.009522,6.722196,1
d3,1,0.010708,6.513197,0
d2,1,0.011933,6.320749,0
v4,1,0.012032,6.306093,0
a4,1,0.015921,5.81153,0
b5,1,0.016301,5.770073,0
r4,1,0.017865,5.609334,0
v2,1,0.034089,4.490259,0
n5,1,0.071041,3.258801,0
p6,1,0.099305,2.716668,0
u2,1,0.102772,2.661995,0
a6,1,0.103777,2.64652,0
s3,1,0.108933,2.569638,0
s8,1,0.110827,2.542395,0
p7,1,0.113892,2.499367,0
u3,1,0.135135,2.232503,0
s7,1,0.163876,1.93809,0
p4,1,0.178005,1.814203,0
u4,1,0.202046,1.627521,0
a5,1,0.204386,1.610752,0
p2,1,0.205889,1.600101,0
a2,1,0.220208,1.503014,0
d5,1,0.233579,1.418936,0
p5,1,0.240071,1.38018,0
s2,1,0.291141,1.114338,0
s4,1,0.33651,0.923682,0
n4,1,0.356479,0.850261,0
v3,1,0.384791,0.755338,0
s6,1,0.398957,0.711469,0
p12,1,0.416756,0.659446,0
b3,1,0.421049,0.647385,0
b2,1,0.421049,0.647385,0
d1,1,0.487814,0.481345,0
b4,1,0.496945,0.461454,0
n2,1,0.509736,0.434608,0
s1,1,0.522213,0.409521,0
d4,1,0.55677,0.345328,0
r1,1,0.708828,0.139451,0
p8,1,0.795532,0.067151,0
v1,1,0.808954,0.058456,0
s5,1,0.825123,0.048824,0
n3,1,0.838119,0.041738,0
u1,1,0.876317,0.024224,0
p1,1,0.88551,0.020732,0
a8,1,0.946345,0.004529,0
