Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.034602,4.464703,0
u1,1,0.039714,4.230056,0
s6,1,0.058568,3.577475,0
s2,1,0.072375,3.228308,0
s7,1,0.075363,3.162162,0
n1,1,0.083825,2.989132,0
p6,1,0.092902,2.823359,0
s8,1,0.113081,2.510624,0
p2,1,0.117694,2.447746,0
v1,1,0.144849,2.125676,0
n5,1,0.177756,1.816283,0
a4,1,0.209355,1.575881,0
a5,1,0.231316,1.432749,0
v2,1,0.260732,1.264865,0
s3,1,0.332109,0.940657,0
p8,1,0.338258,0.917023,0
a2,1,0.365725,0.818137,0
p7,1,0.366105,0.816843,0
p1,1,0.386778,0.749047,0
b2,1,0.421795,0.645308,0
b3,1,0.421795,0.645308,0
n6,1,0.442239,0.590465,0
a6,1,0.457798,0.551272,0
p4,1,0.497618,0.460012,0
p3,1,0.638175,0.221137,0
b4,1,0.639296,0.219664,0
n3,1,0.649126,0.207004,0
u3,1,0.662432,0.190582,0
b5,1,0.670986,0.180451,0
v3,1,0.711626,0.136658,0
n2,1,0.73341,0.116004,0
p11,1,0.767831,0.087151,0
u2,1,0.788975,0.071632,0
d3,1,0.828758,0.046784,0
a3,1,0.893068,0.018069,0
a7,1,0.987953,0.000228,0
v4,1,0.992488,8.9e-05,0
