Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.0,108.688197,1
p3,1,0.0,37.271663,1
p7,1,0.0,30.509678,1
n5,1,0.0,28.769893,1
p4,1,0.0,27.483241,1
s8,1,0.0,27.44672,1
p11,1,7e-06,20.065204,1
p8,1,8e-06,20.052912,1
s2,1,1.2e-05,19.215177,1
s6,1,2.3e-05,17.964925,1
n4,1,4e-05,16.864337,1
s7,1,4e-05,16.852299,1
p2,1,6.6e-05,15.927052,1
p6,1,9.1e-05,15.324016,1
a5,1,0.000187,13.962405,1
s5,1,0.000697,11.497327,1
v1,1,0.001347,10.276372,1
p5,1,0.001423,10.175494,1
u3,1,0.001429,10.168135,1
v4,1,0.002746,8.969201,1
a3,1,0.003223,8.676682,1
n6,1,0.004925,7.906702,1
u2,1,0.005178,7.816155,1
s3,1,0.009097,6.8036,1
r4,1,0.014815,5.938375,0
d5,1,0.020229,5.392033,0
p12,1,0.021392,5.294541,0
v3,1,0.042689,4.107666,0
d4,1,0.045393,4.003994,0
n1,1,0.046226,3.973345,0
d1,1,0.05311,3.740461,0
r1,1,0.059844,3.541699,0
r3,1,0.075158,3.166609,0
a4,1,0.088945,2.893363,0
v2,1,0.096238,2.766804,0
a2,1,0.117999,2.443686,0
s1,1,0.240948,1.37504,0
n3,1,0.264794,1.24352,0
u4,1,0.296752,1.088734,0
a1,1,0.359128,0.840939,0
b5,1,0.41713,0.658387,0
p1,1,0.463845,0.536601,0
n2,1,0.510569,0.4329,0
r2,1,0.524031,0.405953,0
b4,1,0.582807,0.301718,0
s4,1,0.658519,0.195328,0
d2,1,0.66157,0.191622,0
b3,1,0.686222,0.163206,0
b2,1,0.686222,0.163206,0
d3,1,0.762696,0.091169,0
u1,1,0.766748,0.08799,0
a8,1,0.808689,0.058621,0
a7,1,0.917373,0.010763,0
a6,1,0.975357,0.000954,0
