Feature,DoF,P Value,Chi Square,Is Significant
p8,1,0.142819,2.147316,0
p7,1,0.236181,1.403247,0
p6,1,0.238774,1.387818,0
p2,1,0.292007,1.110344,0
v4,1,0.29435,1.099619,0
r3,1,0.357026,0.848328,0
n5,1,0.397471,0.715963,0
v2,1,0.412548,0.671447,0
d5,1,0.442476,0.589852,0
s5,1,0.444057,0.585778,0
v1,1,0.451203,0.567628,0
s8,1,0.516173,0.421532,0
d2,1,0.550765,0.355948,0
r1,1,0.556924,0.345058,0
r4,1,0.562007,0.336241,0
n2,1,0.577338,0.310558,0
p1,1,0.59916,0.276265,0
s4,1,0.607922,0.263213,0
u1,1,0.622308,0.242636,0
u3,1,0.650947,0.204708,0
n3,1,0.655035,0.19961,0
s7,1,0.67497,0.175843,0
a7,1,0.693457,0.155368,0
p5,1,0.722462,0.126146,0
a6,1,0.728371,0.120613,0
a3,1,0.732669,0.116675,0
a8,1,0.747816,0.103375,0
a4,1,0.762491,0.091331,0
s1,1,0.762639,0.091214,0
v3,1,0.771904,0.084034,0
a2,1,0.780057,0.077978,0
d1,1,0.785659,0.073958,0
b4,1,0.785659,0.073958,0
p4,1,0.799528,0.064495,0
p9,1,0.808731,0.058595,0
b5,1,0.810546,0.057467,0
u2,1,0.814526,0.055033,0
s2,1,0.827003,0.047763,0
n6,1,0.828698,0.046817,0
d3,1,0.834279,0.043772,0
p12,1,0.836953,0.042351,0
a1,1,0.852084,0.034767,0
s3,1,0.870028,0.026772,0
n4,1,0.883501,0.021472,0
r2,1,0.886876,0.020237,0
d4,1,0.886907,0.020226,0
p3,1,0.897192,0.016695,0
b3,1,0.897739,0.016517,0
b2,1,0.897739,0.016517,0
s6,1,0.907821,0.013407,0
n1,1,0.908444,0.013225,0
a5,1,0.922435,0.00948,0
