Feature,DoF,P Value,Chi Square,Is Significant
r3,1,0.008943,6.834233,1
p2,1,0.010755,6.505412,0
r4,1,0.01212,6.293205,0
n6,1,0.039428,4.242337,0
p9,1,0.060206,3.531713,0
r1,1,0.080418,3.056441,0
p3,1,0.089481,2.883688,0
r2,1,0.112834,2.51407,0
v4,1,0.128119,2.315148,0
a6,1,0.146402,2.109346,0
n1,1,0.176219,1.829224,0
n2,1,0.190606,1.712924,0
v2,1,0.192224,1.700487,0
a1,1,0.235606,1.406692,0
p8,1,0.293736,1.10242,0
a7,1,0.322993,0.976788,0
u4,1,0.33001,0.94886,0
s8,1,0.370171,0.80309,0
s1,1,0.386298,0.750562,0
n3,1,0.388171,0.744664,0
b4,1,0.405331,0.692452,0
s5,1,0.422555,0.643199,0
d3,1,0.437069,0.603965,0
b5,1,0.453352,0.562258,0
a3,1,0.455332,0.557345,0
d2,1,0.469799,0.522449,0
u3,1,0.482389,0.493458,0
a2,1,0.493681,0.468494,0
p7,1,0.504626,0.445194,0
u1,1,0.508555,0.437038,0
p1,1,0.535201,0.384507,0
p12,1,0.535905,0.383182,0
s4,1,0.540295,0.374993,0
p6,1,0.544551,0.36717,0
p5,1,0.545398,0.365626,0
v1,1,0.568759,0.324763,0
d1,1,0.613882,0.25456,0
d4,1,0.647321,0.209294,0
a8,1,0.675107,0.175687,0
s7,1,0.760085,0.09325,0
s3,1,0.761416,0.092186,0
a5,1,0.828385,0.04699,0
p4,1,0.835299,0.043227,0
v3,1,0.878839,0.023238,0
s6,1,0.882551,0.021826,0
d5,1,0.894322,0.017646,0
b3,1,0.902185,0.015105,0
b2,1,0.902185,0.015105,0
a4,1,0.917762,0.010661,0
n5,1,0.918017,0.010595,0
u2,1,0.931261,0.00744,0
s2,1,0.951419,0.003712,0
n4,1,0.958441,0.002715,0
