Feature,DoF,P Value,Chi Square,Is Significant
v3,1,0.079008,3.085185,0
p2,1,0.143687,2.138024,0
a8,1,0.222969,1.48516,0
b3,1,0.238271,1.390797,0
b2,1,0.238271,1.390797,0
p7,1,0.239113,1.385814,0
v1,1,0.263552,1.25,0
d3,1,0.293803,1.102114,0
a1,1,0.315086,1.009234,0
p5,1,0.386476,0.75,0
s5,1,0.407094,0.687273,0
a5,1,0.490279,0.475913,0
p1,1,0.490279,0.475913,0
s8,1,0.490279,0.475913,0
s6,1,0.490279,0.475913,0
b4,1,0.542541,0.37085,0
p4,1,0.548186,0.360577,0
a2,1,0.561471,0.337163,0
a6,1,0.568261,0.3256,0
p3,1,0.568261,0.3256,0
s2,1,0.587793,0.293803,0
r1,1,0.587793,0.293803,0
n4,1,0.587793,0.293803,0
d5,1,0.587793,0.293803,0
d2,1,0.587793,0.293803,0
v2,1,0.605577,0.266667,0
p12,1,0.748233,0.103022,0
p6,1,0.821348,0.050991,0
u1,1,0.87018,0.026709,0
b5,1,0.87018,0.026709,0
a7,1,0.890787,0.018854,0
p8,1,0.890787,0.018854,0
a4,1,0.910443,0.012652,0
s7,1,0.930388,0.007631,0
s3,1,0.952933,0.003484,0
s4,1,0.952933,0.003484,0
s1,1,0.952933,0.003484,0
