Feature,DoF,P Value,Chi Square,Is Significant
s2,1,0.0,49.551718,1
s3,1,0.0,32.710912,1
s5,1,0.0,25.555796,1
s7,1,2e-06,23.051362,1
s4,1,1.1e-05,19.373168,1
s8,1,8.2e-05,15.513044,1
p10,1,0.000275,13.232116,1
b1,1,0.00431,8.148526,1
p8,1,0.004912,7.911737,1
p9,1,0.008655,6.892638,1
p2,1,0.008936,6.835523,1
s1,1,0.074892,3.172402,0
r3,1,0.078288,3.100099,0
n6,1,0.091567,2.8466,0
a2,1,0.094106,2.80269,0
b5,1,0.098989,2.721754,0
u1,1,0.09915,2.71917,0
a6,1,0.11496,2.484673,0
p7,1,0.11804,2.443132,0
n4,1,0.123042,2.37816,0
d2,1,0.182605,1.776293,0
b2,1,0.193648,1.689642,0
b3,1,0.193648,1.689642,0
u4,1,0.204571,1.609439,0
a1,1,0.219961,1.504623,0
v2,1,0.249429,1.326498,0
d5,1,0.341395,0.905185,0
n5,1,0.342035,0.902788,0
n1,1,0.369775,0.804419,0
p6,1,0.378342,0.776083,0
v4,1,0.399878,0.708693,0
p5,1,0.478237,0.50288,0
d3,1,0.516395,0.421088,0
a4,1,0.529273,0.395787,0
r4,1,0.562402,0.335562,0
u3,1,0.603941,0.269093,0
u2,1,0.611127,0.258537,0
n3,1,0.611712,0.25769,0
r1,1,0.646658,0.21014,0
a3,1,0.738704,0.111269,0
r2,1,0.772467,0.083608,0
d4,1,0.775367,0.081431,0
a7,1,0.777037,0.080193,0
p1,1,0.784474,0.074798,0
p3,1,0.810075,0.057758,0
a5,1,0.819803,0.051892,0
d1,1,0.853093,0.034289,0
b4,1,0.855591,0.03312,0
p4,1,0.858044,0.031993,0
a8,1,0.86522,0.028809,0
v3,1,0.89765,0.016546,0
p12,1,0.919074,0.010323,0
v1,1,0.983689,0.000418,0
n2,1,0.990802,0.000133,0
