Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.6e-05,18.642914,[ 24 158] ; [44 87],[ 39.5399361 142.4600639] ; [ 28.4600639 102.5399361],1
p2,1,2.3e-05,17.890529,[123  60] ; [116  16],[138.84761905  44.15238095] ; [100.15238095  31.84761905],1
p4,1,0.001243,10.424931,[ 67 116] ; [73 60],[ 81.07594937 101.92405063] ; [58.92405063 74.07594937],0
s7,1,0.00138,10.232441,[ 62 116] ; [69 61],[ 75.70779221 102.29220779] ; [55.29220779 74.70779221],0
p3,1,0.004723,7.982434,[ 53 130] ; [59 74],[ 64.86075949 118.13924051] ; [47.13924051 85.86075949],0
s2,1,0.016181,5.783069,[ 73 106] ; [72 60],[83.45659164 95.54340836] ; [61.54340836 70.45659164],0
p10,1,0.018378,5.559707,[135  48] ; [112  20],[143.4952381  39.5047619] ; [103.5047619  28.4952381],0
r1,1,0.026144,4.946477,[129  53] ; [108  24],[137.36942675  44.63057325] ; [99.63057325 32.36942675],0
s3,1,0.027398,4.865547,[88 92] ; [80 50],[97.5483871 82.4516129] ; [70.4516129 59.5483871],0
d3,1,0.047178,3.939035,[111  72] ; [95 38],[119.29746835  63.70253165] ; [86.70253165 46.29746835],0
a2,1,0.052018,3.77519,[ 34 149] ; [37 96],[ 41.11708861 141.88291139] ; [ 29.88291139 103.11708861],0
a8,1,0.054715,3.690747,[ 16 155] ; [20 98],[ 21.30103806 149.69896194] ; [ 14.69896194 103.30103806],0
v2,1,0.066471,3.368087,[84 87] ; [76 51],[91.81208054 79.18791946] ; [68.18791946 58.81208054],0
n1,1,0.067108,3.352381,[25 31] ; [ 8 24],[21. 35.] ; [12. 20.],0
p12,1,0.07701,3.126911,[ 16 166] ; [  5 128],[ 12.13333333 169.86666667] ; [  8.86666667 124.13333333],0
b4,1,0.110868,2.541799,[122  61] ; [77 56],[115.24367089  67.75632911] ; [83.75632911 49.24367089],0
s8,1,0.110868,2.541799,[ 61 122] ; [56 77],[ 67.75632911 115.24367089] ; [49.24367089 83.75632911],0
u1,1,0.13077,2.283345,[ 29 154] ; [ 30 103],[ 34.16772152 148.83227848] ; [ 24.83227848 108.16772152],0
v3,1,0.14257,2.15,[ 54 118] ; [51 78],[ 60. 112.] ; [45. 84.],0
v4,1,0.150511,2.067062,[166  16] ; [125   6],[169.20766773  12.79233227] ; [121.79233227   9.20766773],0
b5,1,0.184911,1.757706,[122  61] ; [79 54],[116.40189873  66.59810127] ; [84.59810127 48.40189873],0
u4,1,0.202858,1.621681,[  5 178] ; [  1 132],[  3.47468354 179.52531646] ; [  2.52531646 130.47468354],0
r4,1,0.217115,1.52334,[155  28] ; [119  14],[158.67721519  24.32278481] ; [115.32278481  17.67721519],0
p9,1,0.293835,1.101964,[144  37] ; [112  21],[147.56687898  33.43312102] ; [108.43312102  24.56687898],0
s5,1,0.334363,0.931927,[ 41 132] ; [38 95],[ 44.66339869 128.33660131] ; [34.33660131 98.66339869],0
p1,1,0.361737,0.831853,[ 11 171] ; [  5 128],[  9.24444444 172.75555556] ; [  6.75555556 126.24444444],0
u2,1,0.42872,0.626289,[32 23] ; [22 11],[33.75 21.25] ; [20.25 12.75],0
a3,1,0.467202,0.528587,[128  55] ; [98 35],[130.87974684  52.12025316] ; [95.12025316 37.87974684],0
d5,1,0.467526,0.527818,[141  42] ; [107  26],[143.62025316  39.37974684] ; [104.37974684  28.62025316],0
u3,1,0.478943,0.501268,[34 21] ; [19 16],[32.38888889 22.61111111] ; [20.61111111 14.38888889],0
v1,1,0.489121,0.478458,[80 94] ; [64 64],[82.96688742 91.03311258] ; [61.03311258 66.96688742],0
p5,1,0.512291,0.429385,[  8 172] ; [  8 123],[  9.26045016 170.73954984] ; [  6.73954984 124.26045016],0
n2,1,0.53053,0.393376,[44 12] ; [24  9],[42.78651685 13.21348315] ; [25.21348315  7.78651685],0
d4,1,0.56642,0.32871,[143  39] ; [108  25],[145.02222222  36.97777778] ; [105.97777778  27.02222222],0
a1,1,0.571421,0.320311,[  6 177] ; [  6 127],[  6.94936709 176.05063291] ; [  5.05063291 127.94936709],0
r2,1,0.666508,0.185714,[167  15] ; [121   9],[168.  14.] ; [120.  10.],0
a7,1,0.671689,0.179633,[119  63] ; [90 43],[120.75555556  61.24444444] ; [88.24444444 44.75555556],0
