Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.140213,2.17562,[ 1 10] ; [1 1],[1.69230769 9.30769231] ; [0.30769231 1.69230769],0
a5,1,0.468717,0.525,[9 3] ; [1 1],[8.57142857 3.42857143] ; [1.42857143 0.57142857],0
v3,1,0.52179,0.410354,[3 8] ; [1 1],[3.38461538 7.61538462] ; [0.61538462 1.38461538],0
p3,1,0.648807,0.207407,[8 4] ; [1 1],[7.71428571 4.28571429] ; [1.28571429 0.71428571],0
d5,1,0.648807,0.207407,[8 4] ; [1 1],[7.71428571 4.28571429] ; [1.28571429 0.71428571],0
r2,1,0.648807,0.207407,[8 4] ; [1 1],[7.71428571 4.28571429] ; [1.28571429 0.71428571],0
s5,1,0.715388,0.132955,[4 7] ; [1 1],[4.23076923 6.76923077] ; [0.76923077 1.23076923],0
s7,1,0.715388,0.132955,[4 7] ; [1 1],[4.23076923 6.76923077] ; [0.76923077 1.23076923],0
b2,1,0.746886,0.104167,[3 5] ; [1 1],[3.2 4.8] ; [0.8 1.2],0
b3,1,0.746886,0.104167,[3 5] ; [1 1],[3.2 4.8] ; [0.8 1.2],0
a3,1,0.825498,0.048611,[7 5] ; [1 1],[6.85714286 5.14285714] ; [1.14285714 0.85714286],0
p11,1,0.825498,0.048611,[7 5] ; [1 1],[6.85714286 5.14285714] ; [1.14285714 0.85714286],0
s2,1,1.0,0.0,[6 6] ; [1 1],[6. 6.] ; [1. 1.],0
s8,1,1.0,0.0,[6 6] ; [1 1],[6. 6.] ; [1. 1.],0
b4,1,1.0,0.0,[6 6] ; [1 1],[6. 6.] ; [1. 1.],0
p8,1,1.0,0.0,[6 6] ; [1 1],[6. 6.] ; [1. 1.],0
r4,1,1.0,0.0,[6 6] ; [1 1],[6. 6.] ; [1. 1.],0
