Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.023868,5.104167,[1 2] ; [11  1],[2.4 0.6] ; [9.6 2.4],0
p10,1,0.079839,3.068182,[1 2] ; [10  2],[2.2 0.8] ; [8.8 3.2],0
p9,1,0.079839,3.068182,[1 2] ; [10  2],[2.2 0.8] ; [8.8 3.2],0
p2,1,0.079839,3.068182,[1 2] ; [10  2],[2.2 0.8] ; [8.8 3.2],0
n6,1,0.079839,3.068182,[1 2] ; [10  2],[2.2 0.8] ; [8.8 3.2],0
n4,1,0.254565,1.298077,[2 1] ; [11  1],[2.6 0.4] ; [10.4  1.6],0
a1,1,0.254565,1.298077,[1 2] ; [ 1 11],[0.4 2.6] ; [ 1.6 10.4],0
n5,1,0.254565,1.298077,[2 1] ; [11  1],[2.6 0.4] ; [10.4  1.6],0
p11,1,0.291841,1.111111,[1 2] ; [8 4],[1.8 1.2] ; [7.2 4.8],0
b5,1,0.437558,0.602679,[1 2] ; [7 5],[1.6 1.4] ; [6.4 5.6],0
a4,1,0.437558,0.602679,[2 1] ; [5 7],[1.4 1.6] ; [5.6 6.4],0
s3,1,0.514828,0.424242,[1 2] ; [6 5],[1.5 1.5] ; [5.5 5.5],0
d1,1,0.604773,0.267857,[2 1] ; [6 6],[1.6 1.4] ; [6.4 5.6],0
v1,1,0.604773,0.267857,[1 2] ; [6 6],[1.4 1.6] ; [5.6 6.4],0
r1,1,0.604773,0.267857,[1 2] ; [6 6],[1.4 1.6] ; [5.6 6.4],0
a7,1,0.604773,0.267857,[2 1] ; [6 6],[1.6 1.4] ; [6.4 5.6],0
d3,1,0.604773,0.267857,[2 1] ; [6 6],[1.6 1.4] ; [6.4 5.6],0
b4,1,0.770335,0.085227,[2 1] ; [9 3],[2.2 0.8] ; [8.8 3.2],0
r2,1,0.770335,0.085227,[2 1] ; [9 3],[2.2 0.8] ; [8.8 3.2],0
a5,1,0.770335,0.085227,[2 1] ; [9 3],[2.2 0.8] ; [8.8 3.2],0
a3,1,0.770335,0.085227,[2 1] ; [9 3],[2.2 0.8] ; [8.8 3.2],0
p3,1,0.792147,0.069444,[1 2] ; [5 7],[1.2 1.8] ; [4.8 7.2],0
a6,1,0.792147,0.069444,[2 1] ; [7 5],[1.8 1.2] ; [7.2 4.8],0
b1,1,0.792147,0.069444,[2 1] ; [7 5],[1.8 1.2] ; [7.2 4.8],0
p1,1,1.0,0.0,[1 2] ; [4 8],[1. 2.] ; [4. 8.],0
d5,1,1.0,0.0,[2 1] ; [8 4],[2. 1.] ; [8. 4.],0
