Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000617,11.725392,[34 28] ; [ 7 29],[25.93877551 36.06122449] ; [15.06122449 20.93877551],1
a5,1,0.004064,8.255029,[49 13] ; [19 18],[42.58585859 19.41414141] ; [25.41414141 11.58585859],0
b5,1,0.006308,7.460023,[44 18] ; [16 21],[37.57575758 24.42424242] ; [22.42424242 14.57575758],0
p4,1,0.009419,6.741543,[34 28] ; [10 26],[27.83673469 34.16326531] ; [16.16326531 19.83673469],0
r2,1,0.011104,6.448598,[58  3] ; [29  8],[54.15306122  6.84693878] ; [32.84693878  4.15306122],0
r4,1,0.019213,5.482021,[54  8] ; [25 12],[49.47474747 12.52525253] ; [29.52525253  7.47474747],0
r3,1,0.021294,5.302546,[59  3] ; [29  7],[55.67346939  6.32653061] ; [32.32653061  3.67346939],0
p11,1,0.025171,5.012081,[47 15] ; [20 17],[41.95959596 20.04040404] ; [25.04040404 11.95959596],0
b1,1,0.040409,4.200641,[19 43] ; [19 18],[23.7979798 38.2020202] ; [14.2020202 22.7979798],0
u2,1,0.063444,3.444976,[9 9] ; [10  2],[11.4  6.6] ; [7.6 4.4],0
a7,1,0.086851,2.931798,[47 15] ; [22 15],[43.21212121 18.78787879] ; [25.78787879 11.21212121],0
n1,1,0.087569,2.918495,[ 3 19] ; [ 6 10],[ 5.21052632 16.78947368] ; [ 3.78947368 12.21052632],0
s1,1,0.105033,2.627402,[ 1 61] ; [ 3 33],[ 2.53061224 59.46938776] ; [ 1.46938776 34.53061224],0
p7,1,0.130992,2.280703,[37 23] ; [16 19],[33.47368421 26.52631579] ; [19.52631579 15.47368421],0
d2,1,0.135738,2.22562,[26 36] ; [10 27],[22.54545455 39.45454545] ; [13.45454545 23.54545455],0
s4,1,0.147762,2.095203,[16 46] ; [ 5 32],[13.15151515 48.84848485] ; [ 7.84848485 29.15151515],0
s6,1,0.151969,2.052372,[42 18] ; [20 16],[38.75 21.25] ; [23.25 12.75],0
