Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n2,1,0.028108,4.821429,[3 1] ; [ 3 13],[1.2 2.8] ; [ 4.8 11.2],0
a3,1,0.031785,4.61006,[7 1] ; [12 15],[4.34285714 3.65714286] ; [14.65714286 12.34285714],0
d3,1,0.074343,3.184432,[6 2] ; [11 17],[3.77777778 4.22222222] ; [13.22222222 14.77777778],0
s6,1,0.111568,2.531868,[4 4] ; [ 6 22],[2.22222222 5.77777778] ; [ 7.77777778 20.22222222],0
p3,1,0.143432,2.140746,[3 5] ; [ 4 24],[1.55555556 6.44444444] ; [ 5.44444444 22.55555556],0
p2,1,0.143432,2.140746,[3 5] ; [ 4 24],[1.55555556 6.44444444] ; [ 5.44444444 22.55555556],0
v3,1,0.143432,2.140746,[3 5] ; [ 4 24],[1.55555556 6.44444444] ; [ 5.44444444 22.55555556],0
d4,1,0.156376,2.008929,[7 1] ; [17 11],[5.33333333 2.66666667] ; [18.66666667  9.33333333],0
a2,1,0.156376,2.008929,[2 6] ; [ 2 26],[0.88888889 7.11111111] ; [ 3.11111111 24.88888889],0
s2,1,0.238569,1.389031,[3 5] ; [ 5 23],[1.77777778 6.22222222] ; [ 6.22222222 21.77777778],0
a6,1,0.243878,1.358036,[5 3] ; [11 17],[3.55555556 4.44444444] ; [12.44444444 15.55555556],0
n5,1,0.243878,1.358036,[3 5] ; [17 11],[4.44444444 3.55555556] ; [15.55555556 12.44444444],0
a4,1,0.28637,1.136608,[4 4] ; [ 8 19],[2.74285714 5.25714286] ; [ 9.25714286 17.74285714],0
b5,1,0.326359,0.963291,[5 3] ; [12 16],[3.77777778 4.22222222] ; [13.22222222 14.77777778],0
v2,1,0.354539,0.857143,[3 5] ; [ 6 22],[2. 6.] ; [ 7. 21.],0
n6,1,0.41835,0.654947,[2 6] ; [11 16],[2.97142857 5.02857143] ; [10.02857143 16.97142857],0
s7,1,0.422018,0.644689,[2 5] ; [ 4 22],[1.27272727 5.72727273] ; [ 4.72727273 21.27272727],0
n1,1,0.481924,0.494505,[2 2] ; [ 5 11],[1.4 2.6] ; [ 5.6 10.4],0
b1,1,0.532251,0.390093,[5 3] ; [14 14],[4.22222222 3.77777778] ; [14.77777778 13.22222222],0
d5,1,0.532251,0.390093,[5 3] ; [14 14],[4.22222222 3.77777778] ; [14.77777778 13.22222222],0
d1,1,0.587746,0.293878,[4 4] ; [11 17],[3.33333333 4.66666667] ; [11.66666667 16.33333333],0
b4,1,0.587746,0.293878,[4 4] ; [17 11],[4.66666667 3.33333333] ; [16.33333333 11.66666667],0
a8,1,0.628745,0.233766,[1 7] ; [ 2 26],[0.66666667 7.33333333] ; [ 2.33333333 25.66666667],0
r2,1,0.642067,0.216049,[4 4] ; [16 11],[4.57142857 3.42857143] ; [15.42857143 11.57142857],0
p6,1,0.651325,0.204234,[1 7] ; [ 2 25],[0.68571429 7.31428571] ; [ 2.31428571 24.68571429],0
r4,1,0.652571,0.202674,[2 6] ; [ 5 23],[1.55555556 6.44444444] ; [ 5.44444444 22.55555556],0
a7,1,0.654001,0.200893,[3 5] ; [13 15],[3.55555556 4.44444444] ; [12.44444444 15.55555556],0
s3,1,0.65564,0.198864,[2 6] ; [ 9 18],[2.51428571 5.48571429] ; [ 8.48571429 18.51428571],0
r1,1,0.719918,0.128571,[4 4] ; [12 16],[3.55555556 4.44444444] ; [12.44444444 15.55555556],0
a5,1,0.719918,0.128571,[4 4] ; [12 16],[3.55555556 4.44444444] ; [12.44444444 15.55555556],0
r3,1,0.786351,0.073469,[3 5] ; [12 16],[3.33333333 4.66666667] ; [11.66666667 16.33333333],0
b2,1,0.807671,0.059259,[2 4] ; [ 7 11],[2.25 3.75] ; [ 6.75 11.25],0
b3,1,0.807671,0.059259,[2 4] ; [ 7 11],[2.25 3.75] ; [ 6.75 11.25],0
p4,1,0.830324,0.045918,[2 6] ; [ 6 22],[1.77777778 6.22222222] ; [ 6.22222222 21.77777778],0
p7,1,0.830324,0.045918,[2 6] ; [ 6 22],[1.77777778 6.22222222] ; [ 6.22222222 21.77777778],0
p8,1,0.869467,0.027006,[1 7] ; [ 4 23],[1.14285714 6.85714286] ; [ 3.85714286 23.14285714],0
p10,1,0.887288,0.020089,[1 7] ; [ 3 25],[0.88888889 7.11111111] ; [ 3.11111111 24.88888889],0
s4,1,0.897515,0.01659,[1 7] ; [ 4 24],[1.11111111 6.88888889] ; [ 3.88888889 24.11111111],0
s5,1,0.897515,0.01659,[1 7] ; [ 4 24],[1.11111111 6.88888889] ; [ 3.88888889 24.11111111],0
s1,1,0.897515,0.01659,[1 7] ; [ 4 24],[1.11111111 6.88888889] ; [ 3.88888889 24.11111111],0
d2,1,0.926661,0.008473,[4 4] ; [14 13],[4.11428571 3.88571429] ; [13.88571429 13.11428571],0
n4,1,0.927197,0.008349,[5 3] ; [17 11],[4.88888889 3.11111111] ; [17.11111111 10.88888889],0
p11,1,1.0,0.0,[2 6] ; [ 7 21],[2. 6.] ; [ 7. 21.],0
