Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000291,13.125,[ 1 27] ; [4 3],[ 4. 24.] ; [1. 6.],1
s1,1,0.028551,4.79447,[ 2 26] ; [3 5],[ 3.88888889 24.11111111] ; [1.11111111 6.88888889],0
p4,1,0.032125,4.591837,[ 4 24] ; [4 4],[ 6.22222222 21.77777778] ; [1.77777778 6.22222222],0
p6,1,0.058777,3.571566,[ 1 26] ; [2 6],[ 2.31428571 24.68571429] ; [0.68571429 7.31428571],0
b5,1,0.074343,3.184432,[11 17] ; [6 2],[13.22222222 14.77777778] ; [3.77777778 4.22222222],0
d5,1,0.074343,3.184432,[17 11] ; [2 6],[14.77777778 13.22222222] ; [4.22222222 3.77777778],0
n4,1,0.120347,2.412801,[19  9] ; [3 5],[17.11111111 10.88888889] ; [4.88888889 3.11111111],0
p3,1,0.143432,2.140746,[ 4 24] ; [3 5],[ 5.44444444 22.55555556] ; [1.55555556 6.44444444],0
p2,1,0.143432,2.140746,[ 4 24] ; [3 5],[ 5.44444444 22.55555556] ; [1.55555556 6.44444444],0
p10,1,0.156376,2.008929,[ 2 26] ; [2 6],[ 3.11111111 24.88888889] ; [0.88888889 7.11111111],0
s3,1,0.19765,1.659652,[ 7 20] ; [4 4],[ 8.48571429 18.51428571] ; [2.51428571 5.48571429],0
r2,1,0.201168,1.633873,[17 10] ; [3 5],[15.42857143 11.57142857] ; [4.57142857 3.42857143],0
n3,1,0.211088,1.563946,[ 4 10] ; [3 2],[5.15789474 8.84210526] ; [1.84210526 3.15789474],0
s2,1,0.238569,1.389031,[ 5 23] ; [3 5],[ 6.22222222 21.77777778] ; [1.77777778 6.22222222],0
a7,1,0.243878,1.358036,[11 17] ; [5 3],[12.44444444 15.55555556] ; [3.55555556 4.44444444],0
a6,1,0.243878,1.358036,[11 17] ; [5 3],[12.44444444 15.55555556] ; [3.55555556 4.44444444],0
n5,1,0.243878,1.358036,[17 11] ; [3 5],[15.55555556 12.44444444] ; [4.44444444 3.55555556],0
d1,1,0.278272,1.17551,[13 15] ; [2 6],[11.66666667 16.33333333] ; [3.33333333 4.66666667],0
s8,1,0.330899,0.945378,[ 1 27] ; [1 7],[ 1.55555556 26.44444444] ; [0.44444444 7.55555556],0
p11,1,0.354539,0.857143,[ 6 22] ; [3 5],[ 7. 21.] ; [2. 6.],0
v2,1,0.354539,0.857143,[ 8 20] ; [1 7],[ 7. 21.] ; [2. 6.],0
d2,1,0.369478,0.805419,[15 12] ; [3 5],[13.88571429 13.11428571] ; [4.11428571 3.88571429],0
n1,1,0.416793,0.659341,[6 9] ; [1 4],[5.25 9.75] ; [1.75 3.25],0
a4,1,0.528708,0.396873,[10 17] ; [2 6],[ 9.25714286 17.74285714] ; [2.74285714 5.25714286],0
n2,1,0.573138,0.31746,[ 4 11] ; [2 3],[ 4.5 10.5] ; [1.5 3.5],0
r4,1,0.573611,0.316678,[ 6 22] ; [1 7],[ 5.44444444 22.55555556] ; [1.55555556 6.44444444],0
b4,1,0.587746,0.293878,[17 11] ; [4 4],[16.33333333 11.66666667] ; [4.66666667 3.33333333],0
a3,1,0.595416,0.281966,[14 13] ; [5 3],[14.65714286 12.34285714] ; [4.34285714 3.65714286],0
a8,1,0.628745,0.233766,[ 2 26] ; [1 7],[ 2.33333333 25.66666667] ; [0.66666667 7.33333333],0
s7,1,0.632142,0.229167,[ 5 20] ; [1 7],[ 4.54545455 20.45454545] ; [1.45454545 6.54545455],0
v3,1,0.652571,0.202674,[ 5 23] ; [2 6],[ 5.44444444 22.55555556] ; [1.55555556 6.44444444],0
a5,1,0.654001,0.200893,[13 15] ; [3 5],[12.44444444 15.55555556] ; [3.55555556 4.44444444],0
r1,1,0.654001,0.200893,[13 15] ; [3 5],[12.44444444 15.55555556] ; [3.55555556 4.44444444],0
u2,1,0.659118,0.194597,[ 3 11] ; [1 2],[ 3.29411765 10.70588235] ; [0.70588235 2.29411765],0
n6,1,0.72647,0.122378,[10 18] ; [3 4],[10.4 17.6] ; [2.6 4.4],0
d4,1,0.776814,0.080357,[19  9] ; [5 3],[18.66666667  9.33333333] ; [5.33333333 2.66666667],0
r3,1,0.786351,0.073469,[12 16] ; [3 5],[11.66666667 16.33333333] ; [3.33333333 4.66666667],0
v1,1,0.830324,0.045918,[ 6 22] ; [2 6],[ 6.22222222 21.77777778] ; [1.77777778 6.22222222],0
s6,1,0.842342,0.03956,[ 8 20] ; [2 6],[ 7.77777778 20.22222222] ; [2.22222222 5.77777778],0
d3,1,0.85837,0.031844,[13 15] ; [4 4],[13.22222222 14.77777778] ; [3.77777778 4.22222222],0
b1,1,0.85837,0.031844,[15 13] ; [4 4],[14.77777778 13.22222222] ; [4.22222222 3.77777778],0
