Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.033895,4.5,[4 2] ; [ 2 10],[2. 4.] ; [4. 8.],0
p3,1,0.087375,2.922078,[4 2] ; [3 9],[2.33333333 3.66666667] ; [4.66666667 7.33333333],0
n4,1,0.087375,2.922078,[2 4] ; [9 3],[3.66666667 2.33333333] ; [7.33333333 4.66666667],0
s6,1,0.129392,2.299784,[5 1] ; [5 6],[3.52941176 2.47058824] ; [6.47058824 4.52941176],0
b1,1,0.17146,1.87013,[5 1] ; [6 6],[3.66666667 2.33333333] ; [7.33333333 4.66666667],0
p1,1,0.179712,1.8,[2 4] ; [ 1 11],[1. 5.] ; [ 2. 10.],0
r2,1,0.235246,1.408861,[5 1] ; [6 5],[3.88235294 2.11764706] ; [7.11764706 3.88235294],0
p9,1,0.235246,1.408861,[5 1] ; [6 5],[3.88235294 2.11764706] ; [7.11764706 3.88235294],0
p11,1,0.288844,1.125,[3 3] ; [9 3],[4. 2.] ; [8. 4.],0
a4,1,0.288844,1.125,[1 5] ; [5 7],[2. 4.] ; [4. 8.],0
p8,1,0.301409,1.067949,[2 3] ; [ 2 10],[1.17647059 3.82352941] ; [2.82352941 9.17647059],0
d3,1,0.317311,1.0,[4 2] ; [5 7],[3. 3.] ; [6. 6.],0
p2,1,0.317311,1.0,[4 2] ; [5 7],[3. 3.] ; [6. 6.],0
s3,1,0.317311,1.0,[4 2] ; [5 7],[3. 3.] ; [6. 6.],0
p7,1,0.317311,1.0,[4 2] ; [5 7],[3. 3.] ; [6. 6.],0
s5,1,0.348723,0.878099,[3 3] ; [3 8],[2.11764706 3.88235294] ; [3.88235294 7.11764706],0
b3,1,0.402388,0.701178,[2 4] ; [6 5],[2.82352941 3.17647059] ; [5.17647059 5.82352941],0
b2,1,0.402388,0.701178,[2 4] ; [6 5],[2.82352941 3.17647059] ; [5.17647059 5.82352941],0
d4,1,0.422678,0.642857,[4 2] ; [10  2],[4.66666667 1.33333333] ; [9.33333333 2.66666667],0
r3,1,0.422678,0.642857,[4 2] ; [10  2],[4.66666667 1.33333333] ; [9.33333333 2.66666667],0
n3,1,0.427355,0.63,[1 1] ; [4 1],[1.42857143 0.57142857] ; [3.57142857 1.42857143],0
n6,1,0.481556,0.495338,[4 2] ; [9 2],[4.58823529 1.41176471] ; [8.41176471 2.58823529],0
r4,1,0.494125,0.467532,[3 3] ; [4 8],[2.33333333 3.66666667] ; [4.66666667 7.33333333],0
s2,1,0.494125,0.467532,[3 3] ; [4 8],[2.33333333 3.66666667] ; [4.66666667 7.33333333],0
a6,1,0.502335,0.45,[2 4] ; [6 6],[2.66666667 3.33333333] ; [5.33333333 6.66666667],0
s1,1,0.595883,0.28125,[1 5] ; [ 1 11],[0.66666667 5.33333333] ; [ 1.33333333 10.66666667],0
a5,1,0.709815,0.138462,[4 2] ; [9 3],[4.33333333 1.66666667] ; [8.66666667 3.33333333],0
d5,1,0.709815,0.138462,[4 2] ; [9 3],[4.33333333 1.66666667] ; [8.66666667 3.33333333],0
b4,1,0.709815,0.138462,[4 2] ; [9 3],[4.33333333 1.66666667] ; [8.66666667 3.33333333],0
p6,1,0.709815,0.138462,[2 4] ; [3 9],[1.66666667 4.33333333] ; [3.33333333 8.66666667],0
n5,1,0.737316,0.1125,[3 3] ; [7 5],[3.33333333 2.66666667] ; [6.66666667 5.33333333],0
d2,1,0.737316,0.1125,[3 3] ; [7 5],[3.33333333 2.66666667] ; [6.66666667 5.33333333],0
a7,1,0.737316,0.1125,[3 3] ; [5 7],[2.66666667 3.33333333] ; [5.33333333 6.66666667],0
v2,1,0.737316,0.1125,[3 3] ; [7 5],[3.33333333 2.66666667] ; [6.66666667 5.33333333],0
v1,1,0.857596,0.032197,[3 3] ; [6 5],[3.17647059 2.82352941] ; [5.82352941 5.17647059],0
p10,1,1.0,0.0,[4 2] ; [8 4],[4. 2.] ; [8. 4.],0
d1,1,1.0,0.0,[3 3] ; [6 6],[3. 3.] ; [6. 6.],0
b5,1,1.0,0.0,[3 3] ; [6 6],[3. 3.] ; [6. 6.],0
n2,1,1.0,0.0,[1 1] ; [3 3],[1. 1.] ; [3. 3.],0
r1,1,1.0,0.0,[3 3] ; [6 6],[3. 3.] ; [6. 6.],0
n1,1,1.0,0.0,[1 1] ; [3 3],[1. 1.] ; [3. 3.],0
