Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3e-06,21.795316,[76 71] ; [30 95],[57.28676471 89.71323529] ; [48.71323529 76.28676471],1
p3,1,5e-06,20.883071,[52 98] ; [ 14 112],[ 35.86956522 114.13043478] ; [30.13043478 95.86956522],1
p6,1,0.002955,8.835017,[ 35 110] ; [ 13 113],[ 25.68265683 119.31734317] ; [ 22.31734317 103.68265683],0
s8,1,0.009207,6.782156,[60 89] ; [32 94],[49.84727273 99.15272727] ; [42.15272727 83.84727273],0
b4,1,0.009274,6.769267,[78 72] ; [85 41],[88.58695652 61.41304348] ; [74.41304348 51.58695652],0
b1,1,0.021047,5.322857,[59 91] ; [33 93],[ 50. 100.] ; [42. 84.],0
s5,1,0.0301,4.703577,[ 47 101] ; [24 96],[ 39.20895522 108.79104478] ; [31.79104478 88.20895522],0
s6,1,0.046985,3.94593,[90 57] ; [61 63],[81.90774908 65.09225092] ; [69.09225092 54.90774908],0
s7,1,0.071672,3.24431,[59 85] ; [37 85],[51.96992481 92.03007519] ; [44.03007519 77.96992481],0
n3,1,0.073143,3.211043,[37  8] ; [24 13],[33.47560976 11.52439024] ; [27.52439024  9.47560976],0
b5,1,0.074525,3.18043,[88 62] ; [87 39],[95.10869565 54.89130435] ; [79.89130435 46.10869565],0
a6,1,0.081132,3.042068,[89 60] ; [88 38],[95.90181818 53.09818182] ; [81.09818182 44.90181818],0
v4,1,0.097757,2.741767,[142   5] ; [115  10],[138.89338235   8.10661765] ; [118.10661765   6.89338235],0
r4,1,0.104448,2.636274,[132  18] ; [102  24],[127.17391304  22.82608696] ; [106.82608696  19.17391304],0
n6,1,0.106921,2.599153,[123  25] ; [94 31],[117.64102564  30.35897436] ; [99.35897436 25.64102564],0
a8,1,0.111939,2.526632,[ 25 112] ; [ 13 104],[ 20.49606299 116.50393701] ; [17.50393701 99.49606299],0
v2,1,0.115594,2.476026,[80 64] ; [55 65],[73.63636364 70.36363636] ; [61.36363636 58.63636364],0
s1,1,0.246241,1.344506,[  4 144] ; [  1 123],[  2.72058824 145.27941176] ; [  2.27941176 121.72058824],0
a2,1,0.246384,1.343694,[ 28 122] ; [ 17 109],[ 24.45652174 125.54347826] ; [ 20.54347826 105.45652174],0
u3,1,0.255137,1.294953,[20 27] ; [25 21],[22.74193548 24.25806452] ; [22.25806452 23.74193548],0
v3,1,0.261631,1.260106,[51 98] ; [34 88],[ 46.73431734 102.26568266] ; [38.26568266 83.73431734],0
a3,1,0.285095,1.142642,[103  45] ; [80 46],[98.84671533 49.15328467] ; [84.15328467 41.84671533],0
n5,1,0.288185,1.128082,[98 50] ; [75 50],[93.78754579 54.21245421] ; [79.21245421 45.78754579],0
a7,1,0.294594,1.098509,[96 53] ; [88 37],[100.05839416  48.94160584] ; [83.94160584 41.05839416],0
p10,1,0.295238,1.09558,[115  33] ; [91 35],[111.27007299  36.72992701] ; [94.72992701 31.27007299],0
d2,1,0.29808,1.082766,[62 88] ; [44 81],[57.81818182 92.18181818] ; [48.18181818 76.81818182],0
r1,1,0.300875,1.070314,[116  32] ; [92 34],[112.35036496  35.64963504] ; [95.64963504 30.35036496],0
n4,1,0.339686,0.911617,[105  44] ; [82 44],[101.32  47.68] ; [85.68 40.32],0
p11,1,0.35102,0.869765,[119  31] ; [94 32],[115.76086957  34.23913043] ; [97.23913043 28.76086957],0
d5,1,0.351903,0.866582,[116  33] ; [92 34],[112.69818182  36.30181818] ; [95.30181818 30.69818182],0
r3,1,0.365804,0.817867,[143   6] ; [116   8],[141.35897436   7.64102564] ; [117.64102564   6.35897436],0
p5,1,0.450644,0.569032,[  6 144] ; [  3 123],[  4.89130435 145.10869565] ; [  4.10869565 121.89130435],0
v1,1,0.498363,0.45842,[69 76] ; [53 69],[66.25468165 78.74531835] ; [55.74531835 66.25468165],0
s2,1,0.507217,0.439805,[64 86] ; [48 76],[61.31386861 88.68613139] ; [50.68613139 73.31386861],0
p12,1,0.530595,0.393252,[  7 141] ; [  4 120],[  5.98529412 142.01470588] ; [  5.01470588 118.98529412],0
u1,1,0.543714,0.3687,[ 19 131] ; [ 13 113],[ 17.39130435 132.60869565] ; [ 14.60869565 111.39130435],0
a4,1,0.596796,0.279855,[57 93] ; [44 82],[54.89130435 95.10869565] ; [46.10869565 79.89130435],0
d1,1,0.631479,0.230061,[71 79] ; [56 70],[69.02173913 80.97826087] ; [57.97826087 68.02173913],0
a5,1,0.63516,0.225128,[97 53] ; [78 48],[95.10869565 54.89130435] ; [79.89130435 46.10869565],0
a1,1,0.638521,0.220682,[  5 145] ; [  3 123],[  4.34782609 145.65217391] ; [  3.65217391 122.34782609],0
d3,1,0.642227,0.215841,[91 57] ; [74 52],[89.12408759 58.87591241] ; [75.87591241 50.12408759],0
u2,1,0.673214,0.177866,[24 21] ; [22 23],[23. 22.] ; [23. 22.],0
d4,1,0.732676,0.116669,[117  32] ; [96 29],[115.82846715  33.17153285] ; [97.17153285 27.82846715],0
p1,1,0.755426,0.097028,[  6 143] ; [  6 119],[  6.52554745 142.47445255] ; [  5.47445255 119.52554745],0
n2,1,0.762936,0.090979,[32 12] ; [28  9],[32.59259259 11.40740741] ; [27.40740741  9.59259259],0
s4,1,0.796207,0.066698,[ 21 128] ; [ 19 106],[ 21.75182482 127.24817518] ; [ 18.24817518 106.75182482],0
