Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.003676,8.4375,[1 5] ; [19  5],[4. 2.] ; [16.  8.],0
n6,1,0.033169,4.537037,[4 2] ; [23  1],[5.4 0.6] ; [21.6  2.4],0
v2,1,0.044136,4.051339,[5 1] ; [ 9 15],[2.8 3.2] ; [11.2 12.8],0
r4,1,0.107123,2.596154,[4 2] ; [22  2],[5.2 0.8] ; [20.8  3.2],0
r1,1,0.148454,2.088068,[3 3] ; [19  5],[4.4 1.6] ; [17.6  6.4],0
p6,1,0.164269,1.934484,[1 4] ; [13 11],[2.4137931 2.5862069] ; [11.5862069 12.4137931],0
d2,1,0.192106,1.701389,[5 1] ; [13 11],[3.6 2.4] ; [14.4  9.6],0
s8,1,0.197213,1.662896,[2 4] ; [15  9],[3.4 2.6] ; [13.6 10.4],0
d1,1,0.255704,1.291866,[5 1] ; [14 10],[3.8 2.2] ; [15.2  8.8],0
a2,1,0.272254,1.205357,[1 5] ; [ 1 23],[0.4 5.6] ; [ 1.6 22.4],0
n4,1,0.272254,1.205357,[5 1] ; [23  1],[5.6 0.4] ; [22.4  1.6],0
r3,1,0.272254,1.205357,[5 1] ; [23  1],[5.6 0.4] ; [22.4  1.6],0
v1,1,0.302557,1.062891,[5 1] ; [14  9],[3.93103448 2.06896552] ; [15.06896552  7.93103448],0
a5,1,0.425556,0.634921,[5 1] ; [16  8],[4.2 1.8] ; [16.8  7.2],0
b5,1,0.464214,0.535714,[2 4] ; [12 12],[2.8 3.2] ; [11.2 12.8],0
a3,1,0.535724,0.383523,[5 1] ; [17  7],[4.4 1.6] ; [17.6  6.4],0
v3,1,0.57615,0.3125,[3 3] ; [15  9],[3.6 2.4] ; [14.4  9.6],0
a4,1,0.57615,0.3125,[3 3] ; [ 9 15],[2.4 3.6] ; [ 9.6 14.4],0
d4,1,0.665984,0.186335,[5 1] ; [18  6],[4.6 1.4] ; [18.4  5.6],0
p3,1,0.679708,0.170455,[4 2] ; [18  6],[4.4 1.6] ; [17.6  6.4],0
b4,1,0.709388,0.138889,[4 2] ; [14 10],[3.6 2.4] ; [14.4  9.6],0
s5,1,0.712547,0.135747,[3 3] ; [14 10],[3.4 2.6] ; [13.6 10.4],0
b1,1,0.712547,0.135747,[3 3] ; [14 10],[3.4 2.6] ; [13.6 10.4],0
p4,1,0.788281,0.072115,[5 1] ; [21  3],[5.2 0.8] ; [20.8  3.2],0
v4,1,0.788281,0.072115,[5 1] ; [21  3],[5.2 0.8] ; [20.8  3.2],0
r2,1,0.819477,0.052083,[5 1] ; [19  5],[4.8 1.2] ; [19.2  4.8],0
d3,1,0.854813,0.033482,[3 3] ; [13 11],[3.2 2.8] ; [12.8 11.2],0
p1,1,1.0,0.0,[1 5] ; [ 4 20],[1. 5.] ; [ 4. 20.],0
a6,1,1.0,0.0,[3 3] ; [12 12],[3. 3.] ; [12. 12.],0
p8,1,1.0,0.0,[4 2] ; [16  8],[4. 2.] ; [16.  8.],0
