Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.00056,11.904762,[11  1] ; [ 9 19],[6. 6.] ; [14. 14.],1
d3,1,0.002968,8.826829,[10  2] ; [ 9 19],[5.7 6.3] ; [13.3 14.7],0
s5,1,0.009102,6.802721,[4 8] ; [ 1 27],[ 1.5 10.5] ; [ 3.5 24.5],0
r4,1,0.009102,6.802721,[4 8] ; [ 1 27],[ 1.5 10.5] ; [ 3.5 24.5],0
d5,1,0.018372,5.560366,[10  2] ; [12 16],[6.6 5.4] ; [15.4 12.6],0
s6,1,0.022392,5.215032,[7 5] ; [ 6 22],[3.9 8.1] ; [ 9.1 18.9],0
s8,1,0.024915,5.029762,[5 7] ; [ 3 25],[2.4 9.6] ; [ 5.6 22.4],0
d4,1,0.032654,4.563831,[11  1] ; [16 12],[8.1 3.9] ; [18.9  9.1],0
d1,1,0.042818,4.102564,[7 5] ; [ 7 21],[4.2 7.8] ; [ 9.8 18.2],0
n6,1,0.042986,4.095936,[11  1] ; [16 11],[8.30769231 3.69230769] ; [18.69230769  8.30769231],0
p9,1,0.090628,2.863176,[8 3] ; [11 15],[5.64864865 5.35135135] ; [13.35135135 12.64864865],0
p10,1,0.134766,2.236728,[7 4] ; [10 17],[4.92105263 6.07894737] ; [12.07894737 14.92105263],0
p5,1,0.149596,2.076362,[ 2 10] ; [ 1 27],[ 0.9 11.1] ; [ 2.1 25.9],0
v4,1,0.167546,1.904762,[8 4] ; [12 16],[6. 6.] ; [14. 14.],0
p11,1,0.167546,1.904762,[8 4] ; [12 16],[6. 6.] ; [14. 14.],0
a6,1,0.184797,1.758616,[7 5] ; [10 18],[5.1 6.9] ; [11.9 16.1],0
n2,1,0.195539,1.675385,[4 1] ; [6 7],[2.77777778 2.22222222] ; [7.22222222 5.77777778],0
a7,1,0.240163,1.37964,[8 4] ; [13 15],[6.3 5.7] ; [14.7 13.3],0
v3,1,0.246235,1.344538,[3 9] ; [ 3 25],[ 1.8 10.2] ; [ 4.2 23.8],0
a4,1,0.282759,1.153781,[4 8] ; [ 5 23],[2.7 9.3] ; [ 6.3 21.7],0
d2,1,0.291841,1.111111,[5 7] ; [ 7 21],[3.6 8.4] ; [ 8.4 19.6],0
b3,1,0.32179,0.981658,[1 4] ; [ 8 10],[1.95652174 3.04347826] ; [ 7.04347826 10.95652174],0
b2,1,0.32179,0.981658,[1 4] ; [ 8 10],[1.95652174 3.04347826] ; [ 7.04347826 10.95652174],0
s2,1,0.341591,0.904453,[3 8] ; [ 4 24],[1.97435897 9.02564103] ; [ 5.02564103 22.97435897],0
r3,1,0.344254,0.894524,[9 3] ; [16 11],[7.69230769 4.30769231] ; [17.30769231  9.69230769],0
b1,1,0.369074,0.806779,[5 7] ; [16 12],[6.3 5.7] ; [14.7 13.3],0
n3,1,0.410117,0.678462,[3 2] ; [5 8],[2.22222222 2.77777778] ; [5.77777778 7.22222222],0
p8,1,0.413783,0.667904,[3 9] ; [ 4 24],[2.1 9.9] ; [ 4.9 23.1],0
a3,1,0.423187,0.641447,[7 5] ; [12 15],[5.84615385 6.15384615] ; [13.15384615 13.84615385],0
v1,1,0.425556,0.634921,[4 8] ; [ 6 22],[3. 9.] ; [ 7. 21.],0
n4,1,0.442631,0.589453,[8 4] ; [15 13],[6.9 5.1] ; [16.1 11.9],0
v2,1,0.461743,0.541667,[5 7] ; [ 8 19],[4. 8.] ; [ 9. 18.],0
s7,1,0.486339,0.484615,[3 7] ; [ 5 21],[2.22222222 7.77777778] ; [ 5.77777778 20.22222222],0
p12,1,0.526572,0.401003,[ 1 11] ; [ 1 27],[ 0.6 11.4] ; [ 1.4 26.6],0
a5,1,0.573138,0.31746,[4 8] ; [12 16],[4.8 7.2] ; [11.2 16.8],0
r1,1,0.588571,0.292581,[4 8] ; [ 7 21],[3.3 8.7] ; [ 7.7 20.3],0
a8,1,0.58901,0.291892,[2 9] ; [ 3 23],[1.48648649 9.51351351] ; [ 3.51351351 22.48648649],0
p1,1,0.601921,0.272109,[ 1 11] ; [ 4 24],[ 1.5 10.5] ; [ 3.5 24.5],0
n5,1,0.72158,0.126984,[7 5] ; [18 10],[7.5 4.5] ; [17.5 10.5],0
b4,1,0.763285,0.090703,[8 4] ; [20  8],[8.4 3.6] ; [19.6  8.4],0
b5,1,0.78146,0.07696,[7 5] ; [15 13],[6.6 5.4] ; [15.4 12.6],0
s3,1,0.796295,0.066639,[2 9] ; [ 4 23],[1.73684211 9.26315789] ; [ 4.26315789 22.73684211],0
a2,1,0.818075,0.05291,[ 1 11] ; [ 3 25],[ 1.2 10.8] ; [ 2.8 25.2],0
u2,1,0.88242,0.021875,[2 3] ; [7 9],[2.14285714 2.85714286] ; [6.85714286 9.14285714],0
u3,1,0.950458,0.00386,[1 4] ; [ 3 13],[0.95238095 4.04761905] ; [ 3.04761905 12.95238095],0
