Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.033722,4.508752,[16  9] ; [ 4 10],[12.82051282 12.17948718] ; [7.17948718 6.82051282],0
p4,1,0.059613,3.54812,[15 10] ; [ 4 10],[12.17948718 12.82051282] ; [6.82051282 7.17948718],0
v4,1,0.089176,2.889184,[16  9] ; [5 9],[13.46153846 11.53846154] ; [7.53846154 6.46153846],0
r1,1,0.095108,2.785714,[10 15] ; [ 2 12],[ 7.69230769 17.30769231] ; [4.30769231 9.69230769],0
p3,1,0.158662,1.986931,[11 14] ; [ 3 11],[ 8.97435897 16.02564103] ; [5.02564103 8.97435897],0
p8,1,0.158662,1.986931,[11 14] ; [ 3 11],[ 8.97435897 16.02564103] ; [5.02564103 8.97435897],0
n1,1,0.168843,1.893182,[2 9] ; [3 3],[3.23529412 7.76470588] ; [1.76470588 4.23529412],0
s7,1,0.184346,1.762238,[ 8 14] ; [ 2 11],[ 6.28571429 15.71428571] ; [3.71428571 9.28571429],0
s5,1,0.188204,1.73162,[ 6 19] ; [ 1 13],[ 4.48717949 20.51282051] ; [ 2.51282051 11.48717949],0
p9,1,0.199266,1.647748,[16  9] ; [5 7],[14.18918919 10.81081081] ; [6.81081081 5.18918919],0
u2,1,0.216522,1.527273,[8 6] ; [2 5],[6.66666667 7.33333333] ; [3.33333333 3.66666667],0
p1,1,0.228863,1.447916,[ 2 23] ; [ 3 11],[ 3.20512821 21.79487179] ; [ 1.79487179 12.20512821],0
d5,1,0.236703,1.400124,[12 13] ; [ 4 10],[10.25641026 14.74358974] ; [5.74358974 8.25641026],0
d3,1,0.237923,1.392857,[10 15] ; [ 3 11],[ 8.33333333 16.66666667] ; [4.66666667 9.33333333],0
r3,1,0.267699,1.2285,[17  8] ; [7 7],[15.38461538  9.61538462] ; [8.61538462 5.38461538],0
b4,1,0.302936,1.061224,[15 10] ; [6 8],[13.46153846 11.53846154] ; [7.53846154 6.46153846],0
p11,1,0.302936,1.061224,[15 10] ; [6 8],[13.46153846 11.53846154] ; [7.53846154 6.46153846],0
p10,1,0.304976,1.052308,[14 11] ; [5 8],[12.5 12.5] ; [6.5 6.5],0
s8,1,0.329501,0.950857,[ 7 18] ; [ 2 12],[ 5.76923077 19.23076923] ; [ 3.23076923 10.76923077],0
n5,1,0.344254,0.894524,[16  9] ; [11  3],[17.30769231  7.69230769] ; [9.69230769 4.30769231],0
d4,1,0.393854,0.727011,[16  9] ; [7 7],[14.74358974 10.25641026] ; [8.25641026 5.74358974],0
n6,1,0.419526,0.651644,[14 10] ; [10  4],[15.15789474  8.84210526] ; [8.84210526 5.15789474],0
u3,1,0.431923,0.617647,[ 2 12] ; [2 5],[ 2.66666667 11.33333333] ; [1.33333333 5.66666667],0
s4,1,0.471097,0.519401,[ 6 19] ; [ 2 12],[ 5.12820513 19.87179487] ; [ 2.87179487 11.12820513],0
r4,1,0.471097,0.519401,[ 6 19] ; [ 2 12],[ 5.12820513 19.87179487] ; [ 2.87179487 11.12820513],0
d1,1,0.471097,0.519401,[ 6 19] ; [ 2 12],[ 5.12820513 19.87179487] ; [ 2.87179487 11.12820513],0
a4,1,0.471097,0.519401,[ 6 19] ; [ 2 12],[ 5.12820513 19.87179487] ; [ 2.87179487 11.12820513],0
s2,1,0.475404,0.509388,[10 15] ; [ 4 10],[ 8.97435897 16.02564103] ; [5.02564103 8.97435897],0
n4,1,0.497754,0.459722,[17  8] ; [8 6],[16.02564103  8.97435897] ; [8.97435897 5.02564103],0
s1,1,0.53482,0.385224,[ 2 23] ; [ 2 12],[ 2.56410256 22.43589744] ; [ 1.43589744 12.56410256],0
v2,1,0.565021,0.331085,[ 8 17] ; [ 3 10],[ 7.23684211 17.76315789] ; [3.76315789 9.23684211],0
s6,1,0.613819,0.254651,[11 14] ; [5 9],[10.25641026 14.74358974] ; [5.74358974 8.25641026],0
v1,1,0.616573,0.250714,[ 7 18] ; [5 9],[ 7.69230769 17.30769231] ; [4.30769231 9.69230769],0
n2,1,0.627477,0.235498,[6 5] ; [4 2],[6.47058824 4.52941176] ; [3.52941176 2.47058824],0
d2,1,0.636871,0.222857,[ 9 16] ; [ 4 10],[ 8.33333333 16.66666667] ; [4.66666667 9.33333333],0
a6,1,0.636871,0.222857,[ 9 16] ; [ 4 10],[ 8.33333333 16.66666667] ; [4.66666667 9.33333333],0
p12,1,0.669489,0.182201,[ 1 24] ; [ 1 13],[ 1.28205128 23.71794872] ; [ 0.71794872 13.28205128],0
a1,1,0.669489,0.182201,[ 1 24] ; [ 1 13],[ 1.28205128 23.71794872] ; [ 0.71794872 13.28205128],0
a3,1,0.718432,0.13,[11 14] ; [7 7],[11.53846154 13.46153846] ; [6.46153846 7.53846154],0
s3,1,0.747115,0.103972,[ 9 16] ; [4 9],[ 8.55263158 16.44736842] ; [4.44736842 8.55263158],0
a5,1,0.791857,0.069643,[10 15] ; [5 9],[ 9.61538462 15.38461538] ; [5.38461538 8.61538462],0
b1,1,0.813403,0.055714,[17  8] ; [9 5],[16.66666667  8.33333333] ; [9.33333333 4.66666667],0
a8,1,0.836664,0.042503,[ 2 20] ; [ 1 13],[ 1.83333333 20.16666667] ; [ 1.16666667 12.83333333],0
