Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.019547,5.451923,[6 2] ; [ 3 10],[3.42857143 4.57142857] ; [5.57142857 7.42857143],0
p7,1,0.200933,1.635577,[7 1] ; [8 5],[5.71428571 2.28571429] ; [9.28571429 3.71428571],0
p3,1,0.203737,1.615385,[4 4] ; [10  3],[5.33333333 2.66666667] ; [8.66666667 4.33333333],0
d5,1,0.203737,1.615385,[4 4] ; [10  3],[5.33333333 2.66666667] ; [8.66666667 4.33333333],0
p8,1,0.247879,1.335216,[5 3] ; [11  2],[6.0952381 1.9047619] ; [9.9047619 3.0952381],0
a4,1,0.247879,1.335216,[3 5] ; [ 2 11],[1.9047619 6.0952381] ; [3.0952381 9.9047619],0
d2,1,0.247879,1.335216,[3 5] ; [ 2 11],[1.9047619 6.0952381] ; [3.0952381 9.9047619],0
v1,1,0.250829,1.318681,[4 4] ; [9 3],[5.2 2.8] ; [7.8 4.2],0
s5,1,0.259942,1.269066,[3 5] ; [7 4],[4.21052632 3.78947368] ; [5.78947368 5.21052632],0
n2,1,0.270289,1.215278,[1 2] ; [3 1],[1.71428571 1.28571429] ; [2.28571429 1.71428571],0
r2,1,0.291841,1.111111,[5 3] ; [10  2],[6. 2.] ; [9. 3.],0
d3,1,0.378175,0.776627,[4 4] ; [9 4],[4.95238095 3.04761905] ; [8.04761905 4.95238095],0
s7,1,0.462527,0.539773,[3 5] ; [6 5],[3.78947368 4.21052632] ; [5.21052632 5.78947368],0
v2,1,0.466394,0.530507,[3 5] ; [7 6],[3.80952381 4.19047619] ; [6.19047619 6.80952381],0
u3,1,0.477267,0.505102,[2 2] ; [5 2],[2.54545455 1.45454545] ; [4.45454545 2.54545455],0
s6,1,0.477395,0.504808,[5 3] ; [10  3],[5.71428571 2.28571429] ; [9.28571429 3.71428571],0
p12,1,0.493563,0.46875,[1 7] ; [3 9],[1.6 6.4] ; [2.4 9.6],0
s8,1,0.52511,0.403846,[2 6] ; [5 8],[2.66666667 5.33333333] ; [4.33333333 8.66666667],0
p4,1,0.548893,0.359304,[7 1] ; [10  3],[6.47619048 1.52380952] ; [10.52380952  2.47619048],0
a1,1,0.548893,0.359304,[1 7] ; [ 3 10],[1.52380952 6.47619048] ; [ 2.47619048 10.52380952],0
n4,1,0.585804,0.296946,[6 2] ; [11  2],[6.47619048 1.52380952] ; [10.52380952  2.47619048],0
a6,1,0.603848,0.269231,[4 4] ; [8 5],[4.57142857 3.42857143] ; [7.42857143 5.57142857],0
u2,1,0.657619,0.196429,[3 1] ; [6 1],[3.27272727 0.72727273] ; [5.72727273 1.27272727],0
n3,1,0.659243,0.194444,[2 1] ; [2 2],[1.71428571 1.28571429] ; [2.28571429 1.71428571],0
s2,1,0.697161,0.151442,[3 5] ; [6 7],[3.42857143 4.57142857] ; [5.57142857 7.42857143],0
a5,1,0.697161,0.151442,[5 3] ; [7 6],[4.57142857 3.42857143] ; [7.42857143 5.57142857],0
v4,1,0.715501,0.132844,[7 1] ; [12  1],[7.23809524 0.76190476] ; [11.76190476  1.23809524],0
r3,1,0.715501,0.132844,[7 1] ; [12  1],[7.23809524 0.76190476] ; [11.76190476  1.23809524],0
b2,1,0.740144,0.11,[3 2] ; [3 3],[2.72727273 2.27272727] ; [3.27272727 2.72727273],0
b3,1,0.740144,0.11,[3 2] ; [3 3],[2.72727273 2.27272727] ; [3.27272727 2.72727273],0
v3,1,0.750679,0.100962,[3 5] ; [4 9],[2.66666667 5.33333333] ; [4.33333333 8.66666667],0
p10,1,0.760907,0.092593,[7 1] ; [11  1],[7.2 0.8] ; [10.8  1.2],0
r4,1,0.776258,0.080769,[6 2] ; [9 4],[5.71428571 2.28571429] ; [9.28571429 3.71428571],0
n1,1,0.80915,0.058333,[1 2] ; [1 3],[0.85714286 2.14285714] ; [1.14285714 2.85714286],0
p11,1,0.854445,0.033654,[7 1] ; [11  2],[6.85714286 1.14285714] ; [11.14285714  1.85714286],0
a3,1,0.863926,0.029371,[4 4] ; [6 7],[3.80952381 4.19047619] ; [6.19047619 6.80952381],0
d1,1,0.863926,0.029371,[4 4] ; [6 7],[3.80952381 4.19047619] ; [6.19047619 6.80952381],0
b5,1,0.863926,0.029371,[4 4] ; [7 6],[4.19047619 3.80952381] ; [6.80952381 6.19047619],0
p2,1,0.94766,0.004309,[6 1] ; [11  2],[5.95 1.05] ; [11.05  1.95],0
p6,1,0.959566,0.00257,[3 4] ; [5 7],[2.94736842 4.05263158] ; [5.05263158 6.94736842],0
s3,1,0.964854,0.001942,[3 5] ; [5 8],[3.04761905 4.95238095] ; [4.95238095 8.04761905],0
b4,1,0.964854,0.001942,[5 3] ; [8 5],[4.95238095 3.04761905] ; [8.04761905 4.95238095],0
