Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1.1e-05,19.30783,[33 27] ; [52  5],[43.58974359 16.41025641] ; [41.41025641 15.58974359],1
v4,1,0.000113,14.914286,[36 24] ; [51  5],[45. 15.] ; [42. 14.],1
p4,1,0.000636,11.66691,[14 47] ; [30 26],[22.94017094 38.05982906] ; [21.05982906 34.94017094],1
b5,1,0.001664,9.888054,[30 31] ; [44 13],[38.25423729 22.74576271] ; [35.74576271 21.25423729],0
p3,1,0.001862,9.680404,[13 47] ; [28 29],[21.02564103 38.97435897] ; [19.97435897 37.02564103],0
r4,1,0.001903,9.641186,[29 32] ; [43 14],[37.22033898 23.77966102] ; [34.77966102 22.22033898],0
d3,1,0.005933,7.570442,[27 33] ; [40 17],[34.35897436 25.64102564] ; [32.64102564 24.35897436],0
a1,1,0.006273,7.470272,[10 51] ; [ 1 56],[ 5.68644068 55.31355932] ; [ 5.31355932 51.68644068],0
p9,1,0.007549,7.13744,[10 49] ; [22 34],[16.4173913 42.5826087] ; [15.5826087 40.4173913],0
p7,1,0.0117,6.355827,[15 45] ; [27 30],[21.53846154 38.46153846] ; [20.46153846 36.53846154],0
s1,1,0.033276,4.531545,[ 9 51] ; [ 2 55],[ 5.64102564 54.35897436] ; [ 5.35897436 51.64102564],0
b3,1,0.040558,4.194383,[18 22] ; [ 7 25],[13.88888889 26.11111111] ; [11.11111111 20.88888889],0
b2,1,0.040558,4.194383,[18 22] ; [ 7 25],[13.88888889 26.11111111] ; [11.11111111 20.88888889],0
n6,1,0.056555,3.635623,[28 32] ; [36 20],[33.10344828 26.89655172] ; [30.89655172 25.10344828],0
s7,1,0.070134,3.279877,[12 43] ; [20 33],[16.2962963 38.7037037] ; [15.7037037 37.2962963],0
p5,1,0.081578,3.033179,[ 1 59] ; [ 5 52],[ 3.07692308 56.92307692] ; [ 2.92307692 54.07692308],0
p8,1,0.086089,2.946032,[11 49] ; [18 38],[15. 45.] ; [14. 42.],0
v1,1,0.0889,2.894174,[16 45] ; [23 33],[20.33333333 40.66666667] ; [18.66666667 37.33333333],0
a7,1,0.094916,2.788964,[32 28] ; [39 18],[36.41025641 23.58974359] ; [34.58974359 22.41025641],0
n3,1,0.096907,2.755727,[13 16] ; [15  7],[15.92156863 13.07843137] ; [12.07843137  9.92156863],0
s8,1,0.099912,2.706954,[ 7 53] ; [13 43],[10.34482759 49.65517241] ; [ 9.65517241 46.34482759],0
a6,1,0.106748,2.601711,[29 31] ; [36 21],[33.33333333 26.66666667] ; [31.66666667 25.33333333],0
s3,1,0.117773,2.446688,[22 37] ; [29 27],[26.16521739 32.83478261] ; [24.83478261 31.16521739],0
r2,1,0.119266,2.426937,[45 14] ; [49  7],[48.22608696 10.77391304] ; [45.77391304 10.22608696],0
a5,1,0.214776,1.538935,[40 21] ; [31 26],[36.70338983 24.29661017] ; [34.29661017 22.70338983],0
u1,1,0.221663,1.493574,[ 6 55] ; [10 47],[ 8.27118644 52.72881356] ; [ 7.72881356 49.27118644],0
p6,1,0.246655,1.342153,[ 8 51] ; [12 43],[10.35087719 48.64912281] ; [ 9.64912281 45.35087719],0
b4,1,0.254015,1.301087,[30 31] ; [34 23],[33.08474576 27.91525424] ; [30.91525424 26.08474576],0
v2,1,0.260707,1.265,[18 42] ; [22 33],[20.86956522 39.13043478] ; [19.13043478 35.86956522],0
a2,1,0.278009,1.176796,[11 50] ; [15 42],[13.44067797 47.55932203] ; [12.55932203 44.44067797],0
s6,1,0.279164,1.171154,[24 36] ; [28 28],[26.89655172 33.10344828] ; [25.10344828 30.89655172],0
r1,1,0.308686,1.036289,[33 27] ; [36 20],[35.68965517 24.31034483] ; [33.31034483 22.68965517],0
s2,1,0.361959,0.831086,[17 44] ; [20 36],[19.29059829 41.70940171] ; [17.70940171 38.29059829],0
a3,1,0.422598,0.643078,[37 22] ; [31 25],[34.88695652 24.11304348] ; [33.11304348 22.88695652],0
d4,1,0.442651,0.589401,[40 20] ; [41 15],[41.89655172 18.10344828] ; [39.10344828 16.89655172],0
s4,1,0.482868,0.492379,[ 9 52] ; [11 45],[10.42735043 50.57264957] ; [ 9.57264957 46.42735043],0
d1,1,0.485114,0.487344,[25 36] ; [27 30],[26.88135593 34.11864407] ; [25.11864407 31.88135593],0
b1,1,0.490987,0.474364,[37 24] ; [31 26],[35.15254237 25.84745763] ; [32.84745763 24.15254237],0
n2,1,0.510348,0.433354,[16 16] ; [13  9],[17.18518519 14.81481481] ; [11.81481481 10.18518519],0
u4,1,0.519136,0.415609,[ 1 60] ; [ 2 55],[ 1.55084746 59.44915254] ; [ 1.44915254 55.55084746],0
n4,1,0.522496,0.408963,[34 26] ; [35 21],[35.68965517 24.31034483] ; [33.31034483 22.68965517],0
a4,1,0.549742,0.35778,[26 33] ; [22 35],[24.4137931 34.5862069] ; [23.5862069 33.4137931],0
n5,1,0.605615,0.266609,[35 25] ; [30 26],[33.62068966 26.37931034] ; [31.37931034 24.62068966],0
s5,1,0.617866,0.248878,[ 8 52] ; [ 9 45],[ 8.94736842 51.05263158] ; [ 8.05263158 45.94736842],0
v3,1,0.633049,0.227949,[16 40] ; [13 40],[14.89908257 41.10091743] ; [14.10091743 38.89908257],0
p1,1,0.663602,0.189178,[ 5 56] ; [ 6 51],[ 5.68644068 55.31355932] ; [ 5.31355932 51.68644068],0
u2,1,0.767878,0.087114,[10 14] ; [ 9 15],[ 9.5 14.5] ; [ 9.5 14.5],0
n1,1,0.781955,0.076603,[14 18] ; [10 11],[14.49056604 17.50943396] ; [ 9.50943396 11.49056604],0
d2,1,0.842259,0.039603,[28 31] ; [26 31],[27.46551724 31.53448276] ; [26.53448276 30.46551724],0
d5,1,0.85326,0.034211,[42 18] ; [39 18],[41.53846154 18.46153846] ; [39.46153846 17.53846154],0
a8,1,0.928733,0.007999,[ 6 51] ; [ 5 45],[ 5.85981308 51.14018692] ; [ 5.14018692 44.85981308],0
u3,1,0.963404,0.002105,[10 14] ; [11 15],[10.08 13.92] ; [10.92 15.08],0
