Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.110587,2.545808,[1 2] ; [ 20 233],[0.24609375 2.75390625] ; [ 20.75390625 232.24609375],0
p7,1,0.140094,2.176929,[1 2] ; [180  70],[2.14624506 0.85375494] ; [178.85375494  71.14624506],0
a6,1,0.259393,1.271993,[1 2] ; [165  90],[1.93023256 1.06976744] ; [164.06976744  90.93023256],0
b2,1,0.259619,1.270787,[2 1] ; [ 57 105],[1.07272727 1.92727273] ; [ 57.92727273 104.07272727],0
b3,1,0.259619,1.270787,[2 1] ; [ 57 105],[1.07272727 1.92727273] ; [ 57.92727273 104.07272727],0
b4,1,0.393781,0.727236,[1 2] ; [148 108],[1.72586873 1.27413127] ; [147.27413127 108.72586873],0
u1,1,0.418496,0.654535,[1 2] ; [ 41 215],[0.48648649 2.51351351] ; [ 41.51351351 214.48648649],0
b5,1,0.460301,0.545161,[1 2] ; [140 116],[1.63320463 1.36679537] ; [139.36679537 116.63320463],0
p2,1,0.47342,0.513983,[2 1] ; [208  44],[2.47058824 0.52941176] ; [207.52941176  44.47058824],0
p9,1,0.4883,0.480271,[2 1] ; [207  45],[2.45882353 0.54117647] ; [206.54117647  45.45882353],0
s8,1,0.489561,0.477491,[2 1] ; [118 135],[1.40625 1.59375] ; [118.59375 134.40625],0
a4,1,0.525387,0.403306,[2 1] ; [123 132],[1.45348837 1.54651163] ; [123.54651163 131.45348837],0
v2,1,0.669553,0.182125,[2 1] ; [132 111],[1.63414634 1.36585366] ; [132.36585366 110.63414634],0
v1,1,0.676851,0.173692,[2 1] ; [136 113],[1.64285714 1.35714286] ; [136.35714286 112.64285714],0
a2,1,0.701285,0.147139,[1 2] ; [ 61 195],[0.71814672 2.28185328] ; [ 61.28185328 194.71814672],0
p3,1,0.754762,0.097573,[2 1] ; [146 107],[1.734375 1.265625] ; [146.265625 106.734375],0
a3,1,0.769815,0.085625,[2 1] ; [189  66],[2.22093023 0.77906977] ; [188.77906977  66.22093023],0
d3,1,0.892905,0.018125,[2 1] ; [161  95],[1.88803089 1.11196911] ; [161.11196911  94.88803089],0
a7,1,0.921575,0.009692,[2 1] ; [163  92],[1.91860465 1.08139535] ; [163.08139535  91.91860465],0
