Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,5e-06,20.843863,[ 5 19] ; [41 13],[14.15384615  9.84615385] ; [31.84615385 22.15384615],1
r3,1,3.5e-05,17.116719,[11 13] ; [49  6],[18.2278481  5.7721519] ; [41.7721519 13.2278481],1
p11,1,3.7e-05,17.02005,[ 6 18] ; [41 14],[14.27848101  9.72151899] ; [32.72151899 22.27848101],1
b5,1,7.6e-05,15.648132,[ 6 18] ; [40 15],[13.97468354 10.02531646] ; [32.02531646 22.97468354],1
v4,1,0.00052,12.041041,[13 10] ; [49  5],[18.51948052  4.48051948] ; [43.48051948 10.51948052],1
p4,1,0.003548,8.501812,[ 4 20] ; [28 26],[ 9.84615385 14.15384615] ; [22.15384615 31.84615385],0
p2,1,0.003984,8.290997,[10 14] ; [40 13],[15.58441558  8.41558442] ; [34.41558442 18.58441558],0
s6,1,0.006634,7.369431,[ 6 18] ; [32 23],[11.5443038 12.4556962] ; [26.4556962 28.5443038],0
n2,1,0.006864,7.308239,[7 7] ; [15  1],[10.26666667  3.73333333] ; [11.73333333  4.26666667],0
v1,1,0.006954,7.284689,[ 5 19] ; [28 24],[10.42105263 13.57894737] ; [22.57894737 29.42105263],0
p8,1,0.012092,6.297349,[ 3 20] ; [23 31],[ 7.76623377 15.23376623] ; [18.23376623 35.76623377],0
a1,1,0.013374,6.118914,[ 5 19] ; [ 2 53],[ 2.12658228 21.87341772] ; [ 4.87341772 50.12658228],0
r4,1,0.01378,6.066112,[10 14] ; [39 16],[14.88607595  9.11392405] ; [34.11392405 20.88607595],0
p7,1,0.014426,5.985249,[ 9 15] ; [35 17],[13.89473684 10.10526316] ; [30.10526316 21.89473684],0
b3,1,0.046103,3.977809,[7 8] ; [ 6 26],[ 4.14893617 10.85106383] ; [ 8.85106383 23.14893617],0
b2,1,0.046103,3.977809,[7 8] ; [ 6 26],[ 4.14893617 10.85106383] ; [ 8.85106383 23.14893617],0
s2,1,0.046432,3.965869,[ 5 19] ; [24 30],[ 8.92307692 15.07692308] ; [20.07692308 33.92307692],0
d2,1,0.056151,3.647587,[14 10] ; [19 35],[10.15384615 13.84615385] ; [22.84615385 31.15384615],0
v3,1,0.072247,3.231215,[ 3 21] ; [16 34],[ 6.16216216 17.83783784] ; [12.83783784 37.16216216],0
u3,1,0.074905,3.172113,[2 7] ; [10  7],[4.15384615 4.84615385] ; [7.84615385 9.15384615],0
p3,1,0.076403,3.139799,[ 3 21] ; [17 37],[ 6.15384615 17.84615385] ; [13.84615385 40.15384615],0
p6,1,0.087321,2.923077,[ 3 21] ; [16 36],[ 6. 18.] ; [13. 39.],0
s8,1,0.107677,2.587982,[ 4 20] ; [19 36],[ 6.98734177 17.01265823] ; [16.01265823 38.98734177],0
n3,1,0.111349,2.534965,[6 7] ; [12  4],[8.06896552 4.93103448] ; [9.93103448 6.06896552],0
d5,1,0.118465,2.4375,[13 11] ; [39 15],[16.  8.] ; [36. 18.],0
r2,1,0.125309,2.349673,[18  6] ; [47  6],[20.25974026  3.74025974] ; [44.74025974  8.25974026],0
d4,1,0.172381,1.862118,[12 11] ; [37 17],[14.63636364  8.36363636] ; [34.36363636 19.63636364],0
u2,1,0.192373,1.699346,[4 5] ; [12  5],[5.53846154 3.46153846] ; [10.46153846  6.53846154],0
r1,1,0.195747,1.673827,[12 12] ; [36 19],[14.58227848  9.41772152] ; [33.41772152 21.58227848],0
v2,1,0.222204,1.490082,[ 8 15] ; [26 26],[10.42666667 12.57333333] ; [23.57333333 28.42666667],0
a7,1,0.266376,1.235314,[13 11] ; [37 18],[15.18987342  8.81012658] ; [34.81012658 20.18987342],0
b1,1,0.327321,0.959468,[12 12] ; [34 21],[13.97468354 10.02531646] ; [32.02531646 22.97468354],0
s7,1,0.336704,0.922941,[ 5 17] ; [18 35],[ 6.74666667 15.25333333] ; [16.25333333 36.74666667],0
p1,1,0.381191,0.766859,[ 2 22] ; [ 2 53],[ 1.21518987 22.78481013] ; [ 2.78481013 52.21518987],0
a2,1,0.422054,0.644588,[ 3 21] ; [11 44],[ 4.25316456 19.74683544] ; [ 9.74683544 45.25316456],0
s4,1,0.445053,0.583219,[ 2 22] ; [ 8 47],[ 3.03797468 20.96202532] ; [ 6.96202532 48.03797468],0
u1,1,0.44737,0.577306,[ 1 23] ; [ 5 50],[ 1.82278481 22.17721519] ; [ 4.17721519 50.82278481],0
a5,1,0.524044,0.405927,[13 11] ; [34 21],[14.27848101  9.72151899] ; [32.72151899 22.27848101],0
d3,1,0.589858,0.290566,[12 12] ; [30 23],[13.09090909 10.90909091] ; [28.90909091 24.09090909],0
s3,1,0.700796,0.147645,[12 12] ; [29 24],[12.77922078 11.22077922] ; [28.22077922 24.77922078],0
d1,1,0.719172,0.129287,[ 9 15] ; [23 32],[ 9.72151899 14.27848101] ; [22.27848101 32.72151899],0
a3,1,0.73818,0.111733,[15  8] ; [38 17],[15.62820513  7.37179487] ; [37.37179487 17.62820513],0
a4,1,0.770492,0.085107,[10 14] ; [21 34],[ 9.41772152 14.58227848] ; [21.58227848 33.41772152],0
b4,1,0.789847,0.071027,[13 11] ; [28 27],[12.4556962 11.5443038] ; [28.5443038 26.4556962],0
a6,1,0.838011,0.041795,[17  7] ; [37 17],[16.61538462  7.38461538] ; [37.38461538 16.61538462],0
n4,1,0.862879,0.029829,[17  7] ; [40 15],[17.3164557  6.6835443] ; [39.6835443 15.3164557],0
s1,1,0.905982,0.01395,[ 1 22] ; [ 2 51],[ 0.90789474 22.09210526] ; [ 2.09210526 50.90789474],0
a8,1,0.916135,0.011089,[ 4 18] ; [10 42],[ 4.16216216 17.83783784] ; [ 9.83783784 42.16216216],0
