Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.194924,1.68,[1 1] ; [ 6 34],[0.33333333 1.66666667] ; [ 6.66666667 33.33333333],0
n4,1,0.194924,1.68,[1 1] ; [34  6],[1.66666667 0.33333333] ; [33.33333333  6.66666667],0
n5,1,0.194924,1.68,[1 1] ; [34  6],[1.66666667 0.33333333] ; [33.33333333  6.66666667],0
p2,1,0.194924,1.68,[1 1] ; [34  6],[1.66666667 0.33333333] ; [33.33333333  6.66666667],0
p12,1,0.387184,0.747767,[1 1] ; [ 9 30],[0.48780488 1.51219512] ; [ 9.51219512 29.48780488],0
p1,1,0.432599,0.615836,[1 1] ; [10 30],[0.52380952 1.47619048] ; [10.47619048 29.52380952],0
a7,1,0.550457,0.356499,[1 1] ; [28 12],[1.38095238 0.61904762] ; [27.61904762 12.38095238],0
a5,1,0.722403,0.126202,[1 1] ; [25 15],[1.23809524 0.76190476] ; [24.76190476 15.23809524],0
a3,1,0.889732,0.019222,[1 1] ; [22 18],[1.0952381 0.9047619] ; [21.9047619 18.0952381],0
v2,1,0.915277,0.011318,[1 1] ; [21 18],[1.07317073 0.92682927] ; [20.92682927 18.07317073],0
s3,1,0.915277,0.011318,[1 1] ; [18 21],[0.92682927 1.07317073] ; [18.07317073 20.92682927],0
v3,1,0.971779,0.001252,[1 1] ; [20 19],[1.02439024 0.97560976] ; [19.97560976 19.02439024],0
