Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,26.681097,[36  5] ; [ 5 17],[26.68253968 14.31746032] ; [14.31746032  7.68253968],1
s7,1,0.000572,11.863869,[22 15] ; [ 3 19],[15.6779661 21.3220339] ; [ 9.3220339 12.6779661],1
n4,1,0.0032,8.689946,[32  9] ; [ 9 13],[26.68253968 14.31746032] ; [14.31746032  7.68253968],0
s8,1,0.006246,7.477934,[20 20] ; [ 3 18],[15.08196721 24.91803279] ; [ 7.91803279 13.08196721],0
s5,1,0.008231,6.98244,[17 23] ; [ 2 19],[12.45901639 27.54098361] ; [ 6.54098361 14.45901639],0
d1,1,0.017854,5.610441,[24 17] ; [ 6 16],[19.52380952 21.47619048] ; [10.47619048 11.52380952],0
a4,1,0.026889,4.897942,[19 22] ; [ 4 18],[14.96825397 26.03174603] ; [ 8.03174603 13.96825397],0
d3,1,0.028312,4.808954,[22 17] ; [ 6 16],[17.90163934 21.09836066] ; [10.09836066 11.90163934],0
v1,1,0.02865,4.788547,[23 18] ; [ 6 16],[18.87301587 22.12698413] ; [10.12698413 11.87301587],0
s2,1,0.040013,4.217322,[26 15] ; [ 8 14],[22.12698413 18.87301587] ; [11.87301587 10.12698413],0
v2,1,0.067949,3.331884,[27 12] ; [10 12],[23.6557377 15.3442623] ; [13.3442623  8.6557377],0
a3,1,0.116922,2.458072,[27 14] ; [10 12],[24.07936508 16.92063492] ; [12.92063492  9.07936508],0
a7,1,0.154064,2.031543,[28 13] ; [11 11],[25.38095238 15.61904762] ; [13.61904762  8.38095238],0
v4,1,0.160735,1.967295,[37  4] ; [17  5],[35.14285714  5.85714286] ; [18.85714286  3.14285714],0
s6,1,0.165981,1.918872,[27 14] ; [10 11],[24.46774194 16.53225806] ; [12.53225806  8.46774194],0
s3,1,0.169675,1.885809,[26 15] ; [10 12],[23.42857143 17.57142857] ; [12.57142857  9.42857143],0
n5,1,0.173225,1.854814,[31 10] ; [13  9],[28.63492063 12.36507937] ; [15.36507937  6.63492063],0
b1,1,0.190091,1.716912,[19 22] ; [14  8],[21.47619048 19.52380952] ; [11.52380952 10.47619048],0
d5,1,0.216276,1.528911,[29 10] ; [13  9],[26.85245902 12.14754098] ; [15.14754098  6.85245902],0
p11,1,0.220145,1.503427,[27 14] ; [11 11],[24.73015873 16.26984127] ; [13.26984127  8.73015873],0
a5,1,0.220145,1.503427,[27 14] ; [11 11],[24.73015873 16.26984127] ; [13.26984127  8.73015873],0
b2,1,0.228159,1.452302,[10 20] ; [ 2 11],[ 8.37209302 21.62790698] ; [3.62790698 9.37209302],0
b3,1,0.228159,1.452302,[10 20] ; [ 2 11],[ 8.37209302 21.62790698] ; [3.62790698 9.37209302],0
b4,1,0.250325,1.321489,[23 18] ; [ 9 13],[20.82539683 20.17460317] ; [11.17460317 10.82539683],0
p6,1,0.264327,1.245953,[19 22] ; [ 7 15],[16.92063492 24.07936508] ; [ 9.07936508 12.92063492],0
v3,1,0.286156,1.137618,[14 25] ; [ 5 17],[12.14754098 26.85245902] ; [ 6.85245902 15.14754098],0
r1,1,0.35011,0.87306,[29 12] ; [13  9],[27.33333333 13.66666667] ; [14.66666667  7.33333333],0
n3,1,0.350201,0.872727,[9 2] ; [3 2],[8.25 2.75] ; [3.75 1.25],0
r2,1,0.357841,0.845455,[36  4] ; [18  4],[34.83870968  5.16129032] ; [19.16129032  2.83870968],0
r3,1,0.415318,0.663525,[38  3] ; [19  3],[37.0952381  3.9047619] ; [19.9047619  2.0952381],0
r4,1,0.419861,0.650704,[35  6] ; [17  5],[33.84126984  7.15873016] ; [18.15873016  3.84126984],0
n1,1,0.474549,0.511364,[5 6] ; [1 3],[4.4 6.6] ; [1.6 2.4],0
n6,1,0.490371,0.475713,[30 10] ; [14  7],[28.85245902 11.14754098] ; [15.14754098  5.85245902],0
u2,1,0.495354,0.464876,[7 7] ; [4 7],[6.16 7.84] ; [4.84 6.16],0
a8,1,0.581256,0.304208,[ 8 32] ; [ 3 18],[ 7.21311475 32.78688525] ; [ 3.78688525 17.21311475],0
p3,1,0.595512,0.281818,[21 19] ; [10 12],[20. 20.] ; [11. 11.],0
p4,1,0.617809,0.248959,[19 21] ; [ 9 13],[18.06451613 21.93548387] ; [ 9.93548387 12.06451613],0
s1,1,0.640365,0.218265,[ 4 37] ; [ 3 19],[ 4.55555556 36.44444444] ; [ 2.44444444 19.55555556],0
p8,1,0.658205,0.195712,[20 21] ; [ 9 12],[19.17741935 21.82258065] ; [ 9.82258065 11.17741935],0
b5,1,0.705146,0.143174,[26 15] ; [15  7],[26.68253968 14.31746032] ; [14.31746032  7.68253968],0
u3,1,0.715697,0.132653,[8 6] ; [6 6],[7.53846154 6.46153846] ; [6.46153846 5.53846154],0
d2,1,0.72041,0.1281,[16 23] ; [ 8 14],[15.3442623 23.6557377] ; [ 8.6557377 13.3442623],0
p5,1,0.728957,0.120071,[ 5 35] ; [ 2 19],[ 4.59016393 35.40983607] ; [ 2.40983607 18.59016393],0
d4,1,0.766385,0.088272,[28 11] ; [15  7],[27.49180328 11.50819672] ; [15.50819672  6.49180328],0
a6,1,0.888024,0.019826,[22 17] ; [12 10],[21.73770492 17.26229508] ; [12.26229508  9.73770492],0
