Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,212.090927,[30 82] ; [424  46],[87.36769759 24.63230241] ; [366.63230241 103.36769759],1
p2,1,0.0,87.321641,[55 60] ; [412  61],[91.33503401 23.66496599] ; [375.66496599  97.33503401],1
r3,1,0.0,80.59209,[82 32] ; [461  14],[105.09677419   8.90322581] ; [437.90322581  37.09677419],1
n6,1,0.0,77.689151,[61 52] ; [420  51],[93.07020548 19.92979452] ; [387.92979452  83.07020548],1
r4,1,0.0,66.753536,[69 46] ; [433  45],[97.35244519 17.64755481] ; [404.64755481  73.35244519],1
v4,1,0.0,56.833086,[84 29] ; [454  19],[103.7440273   9.2559727] ; [434.2559727  38.7440273],1
p8,1,0.0,34.927382,[26 87] ; [252 215],[54.16206897 58.83793103] ; [223.83793103 243.16206897],1
p7,1,0.0,27.253153,[41 73] ; [289 170],[65.65445026 48.34554974] ; [264.34554974 194.65445026],1
s8,1,0.0,26.581503,[18 95] ; [199 275],[41.77342419 71.22657581] ; [175.22657581 298.77342419],1
r2,1,1e-06,23.684361,[91 21] ; [447  24],[103.35506003   8.64493997] ; [434.64493997  36.35506003],1
v2,1,2e-06,22.584173,[38 74] ; [272 190],[60.48780488 51.51219512] ; [249.51219512 212.48780488],1
r1,1,2e-06,22.25127,[66 47] ; [379  97],[85.37351443 27.62648557] ; [359.62648557 116.37351443],1
s6,1,3e-06,21.587904,[49 64] ; [314 155],[70.47938144 42.52061856] ; [292.52061856 176.47938144],1
p4,1,1.1e-05,19.309386,[41 73] ; [277 194],[61.96923077 52.03076923] ; [256.03076923 214.96923077],1
n5,1,3.2e-05,17.313004,[62 51] ; [351 119],[80.04974271 32.95025729] ; [332.95025729 137.04974271],1
v1,1,4.2e-05,16.801314,[37 77] ; [250 214],[56.60553633 57.39446367] ; [230.39446367 233.60553633],1
n4,1,6.5e-05,15.958572,[66 47] ; [366 110],[82.87945671 30.12054329] ; [349.12054329 126.87945671],1
s5,1,0.0001,15.141768,[17 94] ; [158 303],[33.95979021 77.04020979] ; [141.04020979 319.95979021],1
p6,1,0.000142,14.474469,[17 94] ; [158 310],[33.5492228 77.4507772] ; [141.4507772 326.5492228],1
s7,1,0.000213,13.713909,[29 76] ; [218 241],[45.98404255 59.01595745] ; [201.01595745 257.98404255],1
s2,1,0.000295,13.103067,[34 80] ; [229 242],[51.25128205 62.74871795] ; [211.74871795 259.25128205],1
s1,1,0.000498,12.123171,[ 11 103] ; [ 12 456],[  4.50515464 109.49484536] ; [ 18.49484536 449.50515464],1
a1,1,0.001475,10.109979,[ 11 104] ; [ 14 464],[  4.84822934 110.15177066] ; [ 20.15177066 457.84822934],0
n2,1,0.001812,9.731167,[28 25] ; [81 24],[36.56329114 16.43670886] ; [72.43670886 32.56329114],0
p12,1,0.001934,9.611543,[  1 114] ; [ 45 427],[  9.01192504 105.98807496] ; [ 36.98807496 435.01192504],0
a7,1,0.002724,8.983796,[69 45] ; [355 121],[81.92542373 32.07457627] ; [342.07457627 133.92542373],0
d5,1,0.002911,8.862336,[78 36] ; [387  90],[89.69543147 24.30456853] ; [375.30456853 101.69543147],0
d4,1,0.003457,8.549292,[78 35] ; [387  88],[89.3622449 23.6377551] ; [375.6377551  99.3622449],0
d1,1,0.003902,8.328698,[49 66] ; [275 203],[62.83305228 52.16694772] ; [261.16694772 216.83305228],0
a6,1,0.004735,7.977802,[64 50] ; [333 143],[76.70847458 37.29152542] ; [320.29152542 155.70847458],0
d3,1,0.009262,6.77169,[65 49] ; [332 144],[76.70847458 37.29152542] ; [320.29152542 155.70847458],0
n3,1,0.014951,5.922212,[27 23] ; [78 28],[33.65384615 16.34615385] ; [71.34615385 34.65384615],0
a5,1,0.015004,5.916006,[68 47] ; [338 139],[78.86824324 36.13175676] ; [327.13175676 149.86824324],0
v3,1,0.015632,5.843775,[29 78] ; [182 277],[39.88869258 67.11130742] ; [171.11130742 287.88869258],0
p3,1,0.02152,5.284157,[39 75] ; [219 256],[49.93548387 64.06451613] ; [208.06451613 266.93548387],0
s3,1,0.034466,4.471425,[48 64] ; [251 214],[58.03812825 53.96187175] ; [240.96187175 224.03812825],0
n1,1,0.037393,4.332404,[23 29] ; [29 76],[17.22292994 34.77707006] ; [34.77707006 70.22292994],0
u2,1,0.047401,3.931101,[19 28] ; [86 65],[24.92424242 22.07575758] ; [80.07575758 70.92424242],0
a3,1,0.05736,3.612123,[66 46] ; [326 151],[74.53989813 37.46010187] ; [317.46010187 159.53989813],0
p5,1,0.082336,3.01818,[  6 108] ; [ 50 422],[ 10.89419795 103.10580205] ; [ 45.10580205 426.89419795],0
u3,1,0.119798,2.419957,[21 28] ; [84 67],[25.725 23.275] ; [79.275 71.725],0
b4,1,0.284056,1.147584,[63 52] ; [288 190],[68.06913997 46.93086003] ; [282.93086003 195.06913997],0
u1,1,0.358424,0.843409,[ 15 100] ; [ 79 399],[18.22934233 96.77065767] ; [ 75.77065767 402.22934233],0
a8,1,0.417861,0.656324,[11 94] ; [ 58 374],[13.49162011 91.50837989] ; [ 55.50837989 376.49162011],0
b3,1,0.45375,0.561268,[23 46] ; [113 183],[25.70958904 43.29041096] ; [110.29041096 185.70958904],0
b2,1,0.45375,0.561268,[23 46] ; [113 183],[25.70958904 43.29041096] ; [110.29041096 185.70958904],0
b5,1,0.578893,0.308027,[73 42] ; [290 188],[70.39629005 44.60370995] ; [292.60370995 185.39629005],0
a2,1,0.654979,0.19968,[25 90] ; [ 95 383],[23.27150084 91.72849916] ; [ 96.72849916 381.27150084],0
s4,1,0.843823,0.038811,[20 94] ; [ 79 392],[19.29230769 94.70769231] ; [ 79.70769231 391.29230769],0
d2,1,0.873395,0.025392,[51 62] ; [210 264],[50.24361158 62.75638842] ; [210.75638842 263.24361158],0
p1,1,0.894392,0.017622,[ 10 105] ; [ 43 430],[ 10.36564626 104.63435374] ; [ 42.63435374 430.36564626],0
a4,1,0.909713,0.01286,[46 67] ; [191 285],[45.46859083 67.53140917] ; [191.53140917 284.46859083],0
