Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,6.5e-05,15.960552,[ 9 30] ; [30 15],[18.10714286 20.89285714] ; [20.89285714 24.10714286],1
s3,1,0.020153,5.398621,[16 22] ; [31 15],[21.26190476 16.73809524] ; [25.73809524 20.26190476],0
d1,1,0.032528,4.570468,[26 13] ; [20 26],[21.10588235 17.89411765] ; [24.89411765 21.10588235],0
b3,1,0.033673,4.511234,[13 14] ; [ 7 25],[ 9.15254237 17.84745763] ; [10.84745763 21.15254237],0
b2,1,0.033673,4.511234,[13 14] ; [ 7 25],[ 9.15254237 17.84745763] ; [10.84745763 21.15254237],0
p11,1,0.036077,4.393459,[14 25] ; [27 19],[18.81176471 20.18823529] ; [22.18823529 23.81176471],0
d5,1,0.05209,3.772881,[34  5] ; [32 14],[30.28235294  8.71764706] ; [35.71764706 10.28235294],0
d4,1,0.066555,3.366001,[33  6] ; [31 15],[29.36470588  9.63529412] ; [34.63529412 11.36470588],0
d2,1,0.096825,2.757084,[24 15] ; [20 26],[20.18823529 18.81176471] ; [23.81176471 22.18823529],0
a2,1,0.138727,2.192019,[10 29] ; [ 6 40],[ 7.34117647 31.65882353] ; [ 8.65882353 37.34117647],0
p2,1,0.148696,2.085581,[26 13] ; [37  9],[28.90588235 10.09411765] ; [34.09411765 11.90588235],0
a4,1,0.174869,1.840695,[21 18] ; [18 28],[17.89411765 21.10588235] ; [21.10588235 24.89411765],0
p5,1,0.201373,1.632389,[ 2 37] ; [ 6 39],[ 3.71428571 35.28571429] ; [ 4.28571429 40.71428571],0
r3,1,0.212998,1.550931,[37  2] ; [40  6],[35.32941176  3.67058824] ; [41.67058824  4.32941176],0
v3,1,0.293179,1.104964,[10 29] ; [16 28],[12.21686747 26.78313253] ; [13.78313253 30.21686747],0
s5,1,0.327342,0.959385,[ 7 29] ; [13 32],[ 8.88888889 27.11111111] ; [11.11111111 33.88888889],0
p6,1,0.357892,0.845275,[12 26] ; [19 27],[14.02380952 23.97619048] ; [16.97619048 29.02380952],0
a1,1,0.390569,0.737171,[ 1 38] ; [ 3 43],[ 1.83529412 37.16470588] ; [ 2.16470588 43.83529412],0
s7,1,0.421206,0.646947,[14 23] ; [21 24],[15.79268293 21.20731707] ; [19.20731707 25.79268293],0
n2,1,0.42956,0.624013,[12  5] ; [10  2],[12.89655172  4.10344828] ; [9.10344828 2.89655172],0
b5,1,0.436687,0.604972,[24 15] ; [32 14],[25.69411765 13.30588235] ; [30.30588235 15.69411765],0
a8,1,0.440774,0.594268,[ 3 31] ; [ 6 35],[ 4.08 29.92] ; [ 4.92 36.08],0
u4,1,0.46201,0.54102,[ 2 37] ; [ 1 45],[ 1.37647059 37.62352941] ; [ 1.62352941 44.37647059],0
b4,1,0.477142,0.505388,[25 14] ; [26 20],[23.4 15.6] ; [27.6 18.4],0
a3,1,0.503778,0.446969,[24 15] ; [25 21],[22.48235294 16.51764706] ; [26.51764706 19.48235294],0
u1,1,0.51375,0.426421,[ 9 30] ; [ 8 38],[ 7.8 31.2] ; [ 9.2 36.8],0
r2,1,0.525856,0.402393,[34  4] ; [39  7],[33.02380952  4.97619048] ; [39.97619048  6.02380952],0
s1,1,0.532541,0.389541,[ 4 35] ; [ 3 43],[ 3.21176471 35.78823529] ; [ 3.78823529 42.21176471],0
a7,1,0.548804,0.359465,[27 12] ; [29 17],[25.69411765 13.30588235] ; [30.30588235 15.69411765],0
