Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.001789,9.754144,[10 96] ; [2 1],[11.66972477 94.33027523] ; [0.33027523 2.66972477],0
v1,1,0.257751,1.280795,[37 69] ; [2 1],[37.9266055 68.0733945] ; [1.0733945 1.9266055],0
v2,1,0.276375,1.184828,[37 66] ; [2 1],[37.89622642 65.10377358] ; [1.10377358 1.89622642],0
a4,1,0.373053,0.793469,[43 62] ; [2 1],[43.75 61.25] ; [1.25 1.75],0
n1,1,0.499244,0.456542,[20 23] ; [2 1],[20.56521739 22.43478261] ; [1.43478261 1.56521739],0
s6,1,0.514099,0.425715,[49 54] ; [2 1],[49.55660377 53.44339623] ; [1.44339623 1.55660377],0
a2,1,0.531001,0.392476,[20 86] ; [1 2],[20.42201835 85.57798165] ; [0.57798165 2.42201835],0
v4,1,0.571811,0.319662,[84 21] ; [2 1],[83.61111111 21.38888889] ; [2.38888889 0.61111111],0
a6,1,0.580192,0.305925,[53 52] ; [2 1],[53.47222222 51.52777778] ; [1.52777778 1.47222222],0
d3,1,0.625051,0.238832,[55 50] ; [2 1],[55.41666667 49.58333333] ; [1.58333333 1.41666667],0
a7,1,0.635753,0.22434,[56 50] ; [2 1],[56.40366972 49.59633028] ; [1.59633028 1.40366972],0
s8,1,0.653511,0.201502,[23 80] ; [1 2],[23.32075472 79.67924528] ; [0.67924528 2.32075472],0
n5,1,0.658526,0.195319,[57 49] ; [2 1],[57.37614679 48.62385321] ; [1.62385321 1.37614679],0
a3,1,0.68158,0.168352,[58 48] ; [2 1],[58.34862385 47.65137615] ; [1.65137615 1.34862385],0
a5,1,0.728546,0.120451,[60 46] ; [2 1],[60.29357798 45.70642202] ; [1.70642202 1.29357798],0
n6,1,0.752465,0.099471,[61 45] ; [2 1],[61.26605505 44.73394495] ; [1.73394495 1.26605505],0
n2,1,0.771806,0.084108,[25 18] ; [2 1],[25.23913043 17.76086957] ; [1.76086957 1.23913043],0
b4,1,0.801201,0.0634,[63 43] ; [2 1],[63.21100917 42.78899083] ; [1.78899083 1.21100917],0
s7,1,0.819894,0.051839,[26 69] ; [1 2],[26.17346939 68.82653061] ; [0.82653061 2.17346939],0
v3,1,0.822294,0.050443,[28 74] ; [1 2],[28.17142857 73.82857143] ; [0.82857143 2.17142857],0
s3,1,0.841336,0.040074,[41 64] ; [1 2],[40.83333333 64.16666667] ; [1.16666667 1.83333333],0
n3,1,0.869456,0.027011,[26 16] ; [2 1],[26.13333333 15.86666667] ; [1.86666667 1.13333333],0
b3,1,0.921515,0.009707,[19 43] ; [1 2],[19.07692308 42.92307692] ; [0.92307692 2.07692308],0
b2,1,0.921515,0.009707,[19 43] ; [1 2],[19.07692308 42.92307692] ; [0.92307692 2.07692308],0
s2,1,0.944161,0.004906,[33 72] ; [1 2],[33.05555556 71.94444444] ; [0.94444444 2.05555556],0
