Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.003406,8.575858,[27 16] ; [ 5 16],[21.5 21.5] ; [10.5 10.5],0
p9,1,0.010947,6.473955,[64 59] ; [15 34],[56.49418605 66.50581395] ; [22.50581395 26.49418605],0
s5,1,0.018235,5.573425,[40 83] ; [ 7 41],[33.80701754 89.19298246] ; [13.19298246 34.80701754],0
s6,1,0.027554,4.855757,[73 52] ; [20 30],[66.42857143 58.57142857] ; [26.57142857 23.42857143],0
s8,1,0.029272,4.751542,[41 86] ; [ 8 42],[35.15819209 91.84180791] ; [13.84180791 36.15819209],0
p8,1,0.0502,3.834775,[28 98] ; [18 31],[33.12 92.88] ; [12.88 36.12],0
s7,1,0.053275,3.735276,[51 63] ; [14 35],[45.4601227 68.5398773] ; [19.5398773 29.4601227],0
a6,1,0.066578,3.36544,[65 63] ; [33 17],[70.47191011 57.52808989] ; [27.52808989 22.47191011],0
n4,1,0.101615,2.680012,[82 47] ; [24 24],[77.25423729 51.74576271] ; [28.74576271 19.25423729],0
n5,1,0.159918,1.974997,[79 49] ; [24 24],[74.90909091 53.09090909] ; [28.09090909 19.90909091],0
s2,1,0.169518,1.887203,[58 70] ; [17 33],[53.93258427 74.06741573] ; [21.06741573 28.93258427],0
d5,1,0.185302,1.75458,[94 33] ; [32 18],[90.40677966 36.59322034] ; [35.59322034 14.40677966],0
d3,1,0.240245,1.379156,[71 55] ; [33 17],[74.45454545 51.54545455] ; [29.54545455 20.45454545],0
u2,1,0.267236,1.230882,[21 21] ; [ 7 13],[18.96774194 23.03225806] ; [ 9.03225806 10.96774194],0
b3,1,0.302844,1.061627,[20 50] ; [11 17],[22.14285714 47.85714286] ; [ 8.85714286 19.14285714],0
b2,1,0.302844,1.061627,[20 50] ; [11 17],[22.14285714 47.85714286] ; [ 8.85714286 19.14285714],0
p7,1,0.307434,1.041667,[57 69] ; [18 31],[54. 72.] ; [21. 28.],0
s4,1,0.330055,0.948682,[ 26 102] ; [ 7 43],[ 23.73033708 104.26966292] ; [ 9.26966292 40.73033708],0
n6,1,0.332851,0.937773,[79 48] ; [26 22],[76.2 50.8] ; [28.8 19.2],0
p2,1,0.341807,0.903643,[76 51] ; [26 24],[73.18644068 53.81355932] ; [28.81355932 21.18644068],0
p6,1,0.342794,0.899955,[32 93] ; [ 9 39],[29.62427746 95.37572254] ; [11.37572254 36.62427746],0
n3,1,0.349763,0.874316,[34 19] ; [11 10],[32.22972973 20.77027027] ; [12.77027027  8.22972973],0
p3,1,0.358088,0.844589,[51 76] ; [16 33],[48.34659091 78.65340909] ; [18.65340909 30.34659091],0
b4,1,0.426813,0.631481,[73 56] ; [25 25],[70.62569832 58.37430168] ; [27.37430168 22.62569832],0
a7,1,0.430113,0.622519,[78 50] ; [33 16],[80.27118644 47.72881356] ; [30.72881356 18.27118644],0
d2,1,0.474613,0.511217,[66 61] ; [23 27],[63.85875706 63.14124294] ; [25.14124294 24.85875706],0
s1,1,0.493298,0.469325,[  9 118] ; [ 5 44],[ 10.10227273 116.89772727] ; [ 3.89772727 45.10227273],0
u1,1,0.526296,0.401538,[ 16 113] ; [ 8 42],[ 17.29608939 111.70391061] ; [ 6.70391061 43.29608939],0
a4,1,0.549007,0.3591,[56 72] ; [19 30],[54.23728814 73.76271186] ; [20.76271186 28.23728814],0
d4,1,0.556985,0.344951,[92 35] ; [34 16],[90.40677966 36.59322034] ; [35.59322034 14.40677966],0
v2,1,0.571616,0.319986,[47 80] ; [20 28],[48.62285714 78.37714286] ; [18.37714286 29.62285714],0
a2,1,0.572473,0.318562,[ 26 103] ; [12 38],[ 27.38547486 101.61452514] ; [10.61452514 39.38547486],0
v4,1,0.580378,0.305624,[104  24] ; [38 11],[102.68926554  25.31073446] ; [39.31073446  9.68926554],0
p4,1,0.585155,0.297975,[55 72] ; [19 30],[53.39772727 73.60227273] ; [20.60227273 28.39772727],0
a3,1,0.606726,0.26497,[85 44] ; [29 18],[83.55681818 45.44318182] ; [30.44318182 16.55681818],0
b5,1,0.621341,0.243988,[80 49] ; [29 21],[78.55307263 50.44692737] ; [30.44692737 19.55307263],0
