Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.028249,4.812834,[ 2 32] ; [1 1],[ 2.83333333 31.16666667] ; [0.16666667 1.83333333],0
p10,1,0.071745,3.242647,[ 3 31] ; [1 1],[ 3.77777778 30.22222222] ; [0.22222222 1.77777778],0
s2,1,0.330899,0.945378,[ 7 27] ; [1 1],[ 7.55555556 26.44444444] ; [0.44444444 1.55555556],0
p7,1,0.330899,0.945378,[ 7 27] ; [1 1],[ 7.55555556 26.44444444] ; [0.44444444 1.55555556],0
v2,1,0.400814,0.705882,[ 8 26] ; [1 1],[ 8.5 25.5] ; [0.5 1.5],0
p11,1,0.400814,0.705882,[ 8 26] ; [1 1],[ 8.5 25.5] ; [0.5 1.5],0
s3,1,0.560133,0.339474,[10 23] ; [1 1],[10.37142857 22.62857143] ; [0.62857143 1.37142857],0
d1,1,0.805701,0.060504,[14 20] ; [1 1],[14.16666667 19.83333333] ; [0.83333333 1.16666667],0
a6,1,0.870756,0.026471,[15 19] ; [1 1],[15.11111111 18.88888889] ; [0.88888889 1.11111111],0
a3,1,0.900287,0.0157,[18 15] ; [1 1],[17.91428571 15.08571429] ; [1.08571429 0.91428571],0
b5,1,0.935466,0.006556,[16 18] ; [1 1],[16.05555556 17.94444444] ; [0.94444444 1.05555556],0
d3,1,0.935466,0.006556,[16 18] ; [1 1],[16.05555556 17.94444444] ; [0.94444444 1.05555556],0
d2,1,0.966794,0.001733,[17 16] ; [1 1],[16.97142857 16.02857143] ; [1.02857143 0.97142857],0
