Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.027547,4.856187,[6 3] ; [ 7 20],[3.25 5.75] ; [ 9.75 17.25],0
b2,1,0.027547,4.856187,[6 3] ; [ 7 20],[3.25 5.75] ; [ 9.75 17.25],0
r2,1,0.051508,3.791667,[5 7] ; [20  7],[7.69230769 4.30769231] ; [17.30769231  9.69230769],0
v2,1,0.07044,3.272727,[8 4] ; [12 21],[5.33333333 6.66666667] ; [14.66666667 18.33333333],0
s8,1,0.078947,3.086445,[9 3] ; [15 18],[6.4 5.6] ; [17.6 15.4],0
p9,1,0.084094,2.983941,[11  1] ; [21 11],[8.72727273 3.27272727] ; [23.27272727  8.72727273],0
d5,1,0.093533,2.8125,[11  1] ; [22 11],[8.8 3.2] ; [24.2  8.8],0
p11,1,0.093533,2.8125,[11  1] ; [22 11],[8.8 3.2] ; [24.2  8.8],0
p8,1,0.135955,2.223158,[3 9] ; [16 16],[5.18181818 6.81818182] ; [13.81818182 18.18181818],0
a2,1,0.165038,1.927448,[3 9] ; [ 3 30],[ 1.6 10.4] ; [ 4.4 28.6],0
d2,1,0.258195,1.278409,[7 5] ; [13 20],[5.33333333 6.66666667] ; [14.66666667 18.33333333],0
b5,1,0.258195,1.278409,[5 7] ; [20 13],[6.66666667 5.33333333] ; [18.33333333 14.66666667],0
a3,1,0.275349,1.189904,[10  2] ; [22 11],[8.53333333 3.46666667] ; [23.46666667  9.53333333],0
s6,1,0.288159,1.128205,[8 3] ; [18 15],[6.5 4.5] ; [19.5 13.5],0
v1,1,0.303211,1.060019,[6 5] ; [11 19],[4.56097561 6.43902439] ; [12.43902439 17.56097561],0
d4,1,0.317664,0.998541,[11  1] ; [26  7],[9.86666667 2.13333333] ; [27.13333333  5.86666667],0
p10,1,0.33337,0.935764,[10  2] ; [22 10],[8.72727273 3.27272727] ; [23.27272727  8.72727273],0
d3,1,0.344157,0.894886,[5 7] ; [19 14],[6.4 5.6] ; [17.6 15.4],0
v4,1,0.371729,0.797878,[7 4] ; [24  7],[8.11904762 2.88095238] ; [22.88095238  8.11904762],0
a5,1,0.372382,0.795699,[9 3] ; [20 13],[7.73333333 4.26666667] ; [21.26666667 11.73333333],0
a1,1,0.445249,0.582717,[ 1 11] ; [ 1 32],[ 0.53333333 11.46666667] ; [ 1.46666667 31.53333333],0
p1,1,0.445249,0.582717,[ 1 11] ; [ 1 32],[ 0.53333333 11.46666667] ; [ 1.46666667 31.53333333],0
s2,1,0.466608,0.529996,[8 4] ; [18 15],[6.93333333 5.06666667] ; [19.06666667 13.93333333],0
n5,1,0.51439,0.425128,[9 2] ; [23  9],[8.18604651 2.81395349] ; [23.81395349  8.18604651],0
p6,1,0.516211,0.421456,[5 7] ; [10 22],[4.09090909 7.90909091] ; [10.90909091 21.09090909],0
n2,1,0.549185,0.358779,[5 2] ; [14  3],[5.54166667 1.45833333] ; [13.45833333  3.54166667],0
p7,1,0.558378,0.342521,[7 5] ; [15 16],[6.13953488 5.86046512] ; [15.86046512 15.13953488],0
b1,1,0.558917,0.341583,[5 7] ; [17 16],[5.86666667 6.13333333] ; [16.13333333 16.86666667],0
a4,1,0.605552,0.266703,[5 7] ; [11 22],[4.26666667 7.73333333] ; [11.73333333 21.26666667],0
n6,1,0.619668,0.246334,[8 3] ; [20 11],[7.33333333 3.66666667] ; [20.66666667 10.33333333],0
a6,1,0.685167,0.164367,[7 5] ; [17 16],[6.4 5.6] ; [17.6 15.4],0
p5,1,0.691615,0.157343,[ 2 10] ; [ 4 29],[ 1.6 10.4] ; [ 4.4 28.6],0
s5,1,0.699204,0.149301,[3 9] ; [ 9 20],[3.51219512 8.48780488] ; [ 8.48780488 20.51219512],0
n4,1,0.72853,0.120465,[9 3] ; [23 10],[8.53333333 3.46666667] ; [23.46666667  9.53333333],0
d1,1,0.786944,0.073052,[6 6] ; [15 18],[5.6 6.4] ; [15.4 17.6],0
p3,1,0.851038,0.035266,[4 8] ; [12 21],[4.26666667 7.73333333] ; [11.73333333 21.26666667],0
r1,1,0.854311,0.033716,[4 7] ; [11 22],[3.75 7.25] ; [11.25 21.75],0
s3,1,0.854311,0.033716,[7 4] ; [22 11],[7.25 3.75] ; [21.75 11.25],0
p2,1,0.878825,0.023244,[9 3] ; [24  9],[8.8 3.2] ; [24.2  8.8],0
r3,1,0.894876,0.01746,[8 4] ; [22 10],[8.18181818 3.81818182] ; [21.81818182 10.18181818],0
p4,1,0.928354,0.008085,[6 6] ; [16 17],[5.86666667 6.13333333] ; [16.13333333 16.86666667],0
a7,1,0.928354,0.008085,[6 6] ; [16 17],[5.86666667 6.13333333] ; [16.13333333 16.86666667],0
b4,1,0.928354,0.008085,[6 6] ; [16 17],[5.86666667 6.13333333] ; [16.13333333 16.86666667],0
u1,1,0.937057,0.006236,[ 1 11] ; [ 3 30],[ 1.06666667 10.93333333] ; [ 2.93333333 30.06666667],0
n1,1,0.939491,0.005762,[3 4] ; [ 7 10],[2.91666667 4.08333333] ; [7.08333333 9.91666667],0
n3,1,0.968296,0.00158,[3 4] ; [7 9],[3.04347826 3.95652174] ; [6.95652174 9.04347826],0
u2,1,1.0,0.0,[1 1] ; [5 5],[1. 1.] ; [5. 5.],0
