Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.002944,8.841783,[ 7 21] ; [6 1],[10.4 17.6] ; [2.6 4.4],0
b3,1,0.002944,8.841783,[ 7 21] ; [6 1],[10.4 17.6] ; [2.6 4.4],0
a8,1,0.012391,6.254015,[ 5 52] ; [2 2],[ 6.54098361 50.45901639] ; [0.45901639 3.54098361],0
p5,1,0.013362,6.120527,[ 3 56] ; [2 4],[ 4.53846154 54.46153846] ; [0.46153846 5.53846154],0
v3,1,0.016071,5.795122,[20 40] ; [5 1],[22.72727273 37.27272727] ; [2.27272727 3.72727273],0
a2,1,0.02917,4.757563,[12 48] ; [4 3],[14.32835821 45.67164179] ; [1.67164179 5.32835821],0
u1,1,0.045992,3.98188,[ 8 52] ; [3 4],[ 9.85074627 50.14925373] ; [1.14925373 5.85074627],0
v2,1,0.06656,3.365884,[26 33] ; [5 1],[28.13846154 30.86153846] ; [2.86153846 3.13846154],0
d1,1,0.072912,3.216206,[30 30] ; [6 1],[32.23880597 27.76119403] ; [3.76119403 3.23880597],0
a1,1,0.151584,2.056235,[ 6 54] ; [2 5],[ 7.1641791 52.8358209] ; [0.8358209 6.1641791],0
d2,1,0.159487,1.979083,[35 25] ; [6 1],[36.71641791 23.28358209] ; [4.28358209 2.71641791],0
a4,1,0.185261,1.754904,[27 33] ; [5 2],[28.65671642 31.34328358] ; [3.34328358 3.65671642],0
p8,1,0.21376,1.545773,[20 40] ; [4 3],[21.49253731 38.50746269] ; [2.50746269 4.49253731],0
n4,1,0.269433,1.219632,[39 21] ; [6 1],[40.29850746 19.70149254] ; [4.70149254 2.29850746],0
s8,1,0.282776,1.153699,[30 30] ; [5 2],[31.34328358 28.65671642] ; [3.65671642 3.34328358],0
s5,1,0.303812,1.057389,[28 29] ; [2 5],[26.71875 30.28125] ; [3.28125 3.71875],0
a6,1,0.321034,0.984731,[31 29] ; [5 2],[32.23880597 27.76119403] ; [3.76119403 3.23880597],0
p12,1,0.326472,0.96284,[ 3 57] ; [1 6],[ 3.58208955 56.41791045] ; [0.41791045 6.58208955],0
p4,1,0.406438,0.689195,[33 27] ; [5 2],[34.02985075 25.97014925] ; [3.97014925 3.02985075],0
b5,1,0.453638,0.561547,[34 26] ; [5 2],[34.92537313 25.07462687] ; [4.07462687 2.92537313],0
b4,1,0.453638,0.561547,[34 26] ; [5 2],[34.92537313 25.07462687] ; [4.07462687 2.92537313],0
p7,1,0.482558,0.493078,[34 25] ; [5 2],[34.86363636 24.13636364] ; [4.13636364 2.86363636],0
s3,1,0.503852,0.446814,[35 25] ; [5 2],[35.82089552 24.17910448] ; [4.17910448 2.82089552],0
d5,1,0.572974,0.317733,[45 14] ; [6 1],[45.59090909 13.40909091] ; [5.40909091 1.59090909],0
r1,1,0.586829,0.295324,[46 14] ; [6 1],[46.56716418 13.43283582] ; [5.43283582 1.56716418],0
p3,1,0.627834,0.235009,[28 31] ; [4 3],[28.60606061 30.39393939] ; [3.39393939 3.60606061],0
p2,1,0.63542,0.224782,[46 13] ; [6 1],[46.48484848 12.51515152] ; [5.51515152 1.48484848],0
s7,1,0.643654,0.213995,[35 21] ; [5 2],[35.55555556 20.44444444] ; [4.44444444 2.55555556],0
s2,1,0.74861,0.102703,[38 22] ; [4 3],[37.6119403 22.3880597] ; [4.3880597 2.6119403],0
a7,1,0.777429,0.079903,[39 20] ; [5 2],[39.33333333 19.66666667] ; [4.66666667 2.33333333],0
p6,1,0.884046,0.02127,[24 36] ; [3 4],[24.17910448 35.82089552] ; [2.82089552 4.17910448],0
