Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.01054,6.54124,[20 49] ; [13  9],[25.02197802 43.97802198] ; [ 7.97802198 14.02197802],0
b3,1,0.01054,6.54124,[20 49] ; [13  9],[25.02197802 43.97802198] ; [ 7.97802198 14.02197802],0
p9,1,0.019307,5.473455,[84 26] ; [33  2],[88.75862069 21.24137931] ; [28.24137931  6.75862069],0
a4,1,0.038646,4.276364,[48 64] ; [22 13],[53.33333333 58.66666667] ; [16.66666667 18.33333333],0
n4,1,0.046527,3.962404,[85 27] ; [32  3],[89.14285714 22.85714286] ; [27.85714286  7.14285714],0
u4,1,0.053216,3.737113,[  2 110] ; [ 3 32],[  3.80952381 108.19047619] ; [ 1.19047619 33.80952381],0
s8,1,0.068809,3.311203,[44 67] ; [20 15],[48.65753425 62.34246575] ; [15.34246575 19.65753425],0
d2,1,0.097865,2.739992,[59 53] ; [24 11],[63.23809524 48.76190476] ; [19.76190476 15.23809524],0
r1,1,0.1012,2.686532,[88 23] ; [23 12],[84.39041096 26.60958904] ; [26.60958904  8.39041096],0
d1,1,0.144408,2.130349,[68 44] ; [26  9],[71.61904762 40.38095238] ; [22.38095238 12.61904762],0
p8,1,0.149441,2.077949,[33 78] ; [15 20],[36.49315068 74.50684932] ; [11.50684932 23.49315068],0
n3,1,0.183083,1.77242,[18 11] ; [10  2],[19.80487805  9.19512195] ; [8.19512195 3.80487805],0
p10,1,0.212095,1.557068,[84 26] ; [23 12],[81.17241379 28.82758621] ; [25.82758621  9.17241379],0
s7,1,0.216606,1.526713,[45 58] ; [19 15],[48.11678832 54.88321168] ; [15.88321168 18.11678832],0
n1,1,0.23102,1.434567,[11 18] ; [7 5],[12.73170732 16.26829268] ; [5.26829268 6.73170732],0
v3,1,0.297754,1.084226,[38 67] ; [ 9 25],[35.50359712 69.49640288] ; [11.49640288 22.50359712],0
a3,1,0.334887,0.929909,[70 42] ; [25 10],[72.38095238 39.61904762] ; [22.61904762 12.38095238],0
a6,1,0.336932,0.922069,[74 38] ; [20 15],[71.61904762 40.38095238] ; [22.38095238 12.61904762],0
p12,1,0.360765,0.835227,[ 10 102] ; [ 5 30],[ 11.42857143 100.57142857] ; [ 3.57142857 31.42857143],0
p1,1,0.360765,0.835227,[ 10 102] ; [ 5 30],[ 11.42857143 100.57142857] ; [ 3.57142857 31.42857143],0
p5,1,0.364764,0.821425,[12 98] ; [ 2 33],[10.62068966 99.37931034] ; [ 3.37931034 31.62068966],0
n5,1,0.419424,0.651929,[82 30] ; [28  7],[83.80952381 28.19047619] ; [26.19047619  8.80952381],0
d5,1,0.43136,0.619158,[93 19] ; [31  4],[94.47619048 17.52380952] ; [29.52380952  5.47619048],0
d4,1,0.474959,0.510417,[90 22] ; [30  5],[91.42857143 20.57142857] ; [28.57142857  6.42857143],0
v4,1,0.488718,0.479348,[106   6] ; [32  3],[105.14285714   6.85714286] ; [32.85714286  2.14285714],0
v2,1,0.504882,0.444659,[57 52] ; [20 14],[58.69230769 50.30769231] ; [18.30769231 15.69230769],0
p3,1,0.523441,0.407108,[63 48] ; [22 13],[64.62328767 46.37671233] ; [20.37671233 14.62328767],0
d3,1,0.53249,0.389638,[77 35] ; [26  9],[78.47619048 33.52380952] ; [24.52380952 10.47619048],0
n2,1,0.562786,0.334903,[19  9] ; [7 5],[18.2  9.8] ; [7.8 4.2],0
r2,1,0.571104,0.320838,[102  10] ; [32  2],[102.79452055   9.20547945] ; [31.20547945  2.79452055],0
a5,1,0.572795,0.318029,[81 31] ; [27  8],[82.28571429 29.71428571] ; [25.71428571  9.28571429],0
n6,1,0.579991,0.30625,[95 17] ; [31  4],[96. 16.] ; [30.  5.],0
s4,1,0.593687,0.284623,[15 96] ; [ 6 29],[15.96575342 95.03424658] ; [ 5.03424658 29.96575342],0
u1,1,0.594055,0.284055,[21 91] ; [ 8 27],[22.0952381 89.9047619] ; [ 6.9047619 28.0952381],0
a8,1,0.638194,0.221111,[ 9 88] ; [ 4 29],[ 9.7 87.3] ; [ 3.3 29.7],0
a7,1,0.643097,0.214715,[82 30] ; [27  8],[83.04761905 28.95238095] ; [25.95238095  9.04761905],0
s1,1,0.64366,0.213987,[  7 104] ; [ 3 32],[  7.60273973 103.39726027] ; [ 2.39726027 32.60273973],0
s6,1,0.647256,0.209377,[78 33] ; [26  9],[79.06849315 31.93150685] ; [24.93150685 10.06849315],0
s5,1,0.692799,0.156072,[30 75] ; [ 8 24],[29.12408759 75.87591241] ; [ 8.87591241 23.12408759],0
s2,1,0.7552,0.097213,[59 50] ; [20 15],[59.79861111 49.20138889] ; [19.20138889 15.79861111],0
p11,1,0.764084,0.090074,[77 35] ; [25 10],[77.71428571 34.28571429] ; [24.28571429 10.71428571],0
r4,1,0.783414,0.075555,[98 14] ; [30  5],[97.52380952 14.47619048] ; [30.47619048  4.52380952],0
s3,1,0.799038,0.064817,[57 53] ; [19 16],[57.65517241 52.34482759] ; [18.34482759 16.65517241],0
u3,1,0.800315,0.063978,[27 15] ; [6 4],[26.65384615 15.34615385] ; [6.34615385 3.65384615],0
v1,1,0.848102,0.036688,[55 51] ; [17 17],[54.51428571 51.48571429] ; [17.48571429 16.51428571],0
p2,1,0.856493,0.032703,[88 24] ; [28  7],[88.38095238 23.61904762] ; [27.61904762  7.38095238],0
a2,1,0.856493,0.032703,[24 88] ; [ 7 28],[23.61904762 88.38095238] ; [ 7.38095238 27.61904762],0
b4,1,0.864749,0.029013,[69 43] ; [21 14],[68.57142857 43.42857143] ; [21.42857143 13.57142857],0
